evaluation 1110: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1120: speed 0.028255, force 0.0459 N, moment 0.0151 Nm, torque margin 0.2267 Nm, penetration 0.000016 m
evaluation 1130: speed 0.028242, force 0.0488 N, moment 0.0161 Nm, torque margin -0.0593 Nm, penetration 0.000014 m
evaluation 1140: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1150: speed 0.027602, force 0.0399 N, moment 0.0132 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1160: speed 0.027602, force 0.0398 N, moment 0.0131 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1170: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1180: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1190: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2166 Nm, penetration 0.000013 m
evaluation 1200: speed 0.027602, force 0.0396 N, moment 0.0130 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1210: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1220: speed 0.027602, force 0.0399 N, moment 0.0132 Nm, torque margin 0.2167 Nm, penetration 0.000013 m
evaluation 1230: speed 0.027602, force 0.0399 N, moment 0.0131 Nm, torque margin 0.2169 Nm, penetration 0.000013 m
evaluation 1240: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1328 Nm, penetration 0.000008 m
evaluation 1250: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1260: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1270: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1280: speed 0.027970, force 0.0316 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1290: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1300: speed 0.027970, force 0.0316 N, moment 0.0104 Nm, torque margin 0.1326 Nm, penetration 0.000008 m
