evaluation 550: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 560: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 570: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 580: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 590: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 600: speed 0.074350, force 5.0845 N, moment 0.5454 Nm, torque -0.3672 Nm, cone 20.3523 N, maximum constraint 407.046896, feasible false
evaluation 610: speed 0.040782, force 4.5491 N, moment 0.2638 Nm, torque -0.3561 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 620: speed 0.040779, force 4.5476 N, moment 0.2638 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 630: speed 0.040779, force 4.5476 N, moment 0.2638 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 640: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3561 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 650: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 660: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 670: speed 0.040779, force 4.5477 N, moment 0.2637 Nm, torque -0.3558 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 680: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3559 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 690: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3559 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 700: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 710: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 720: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 730: speed 0.040779, force 4.5476 N, moment 0.2637 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 740: speed 0.040779, force 4.5476 N, moment 0.2638 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 750: speed 0.040779, force 4.5476 N, moment 0.2638 Nm, torque -0.3560 Nm, cone 8.7033 N, maximum constraint 174.065841, feasible false
evaluation 760: speed 0.027545, force 2.6854 N, moment 0.1430 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 770: speed 0.027545, force 2.6981 N, moment 0.1421 Nm, torque -0.1748 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 780: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 790: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1752 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 800: speed 0.027545, force 2.6905 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 810: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 820: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 830: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 840: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 850: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 860: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 870: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 880: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 890: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 900: speed 0.027545, force 2.6854 N, moment 0.1421 Nm, torque -0.1750 Nm, cone 5.8303 N, maximum constraint 116.605528, feasible false
evaluation 910: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983515, feasible false
evaluation 920: speed 0.025000, force 2.4490 N, moment 0.4316 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.980041, feasible false
