evaluation 1120: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1130: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1140: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1150: speed 0.084127, force 0.0684 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1160: speed 0.084127, force 0.0683 N, moment 0.0221 Nm, torque margin -0.0755 Nm, penetration 0.000003 m
evaluation 1170: speed 0.079486, force 0.0580 N, moment 0.0187 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1180: speed 0.079486, force 0.0593 N, moment 0.0192 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1190: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1200: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1210: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1220: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1230: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1240: speed 0.079486, force 0.0582 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1250: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1260: speed 0.079486, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0698 Nm, penetration 0.000003 m
evaluation 1270: speed 0.071115, force 0.0402 N, moment 0.0130 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1280: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1290: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1300: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1310: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1320: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1330: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1340: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1350: speed 0.071109, force 0.0399 N, moment 0.0129 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1360: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1370: speed 0.071109, force 0.0404 N, moment 0.0131 Nm, torque margin -0.0720 Nm, penetration 0.000001 m
evaluation 1380: speed 0.059088, force 0.0300 N, moment 0.0096 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1390: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1400: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1410: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1420: speed 0.059088, force 0.0295 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1430: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1440: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1450: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1460: speed 0.059088, force 0.0294 N, moment 0.0094 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1470: speed 0.059088, force 0.0291 N, moment 0.0093 Nm, torque margin -0.0628 Nm, penetration 0.000008 m
evaluation 1480: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1490: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1500: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1510: speed 0.042951, force 0.1222 N, moment 0.0391 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1520: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1530: speed 0.042951, force 0.1201 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1540: speed 0.042951, force 0.1201 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1550: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1560: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1570: speed 0.042951, force 0.1200 N, moment 0.0384 Nm, torque margin 0.1422 Nm, penetration 0.000013 m
evaluation 1580: speed 0.042951, force 0.1202 N, moment 0.0385 Nm, torque margin 0.1420 Nm, penetration 0.000013 m
evaluation 1590: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2336 Nm, penetration 0.000007 m
evaluation 1600: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1610: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1620: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1630: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1640: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1650: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000006 m
evaluation 1660: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2326 Nm, penetration 0.000006 m
evaluation 1670: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2327 Nm, penetration 0.000007 m
evaluation 1680: speed 0.041089, force 0.0192 N, moment 0.0062 Nm, torque margin 0.2328 Nm, penetration 0.000007 m
evaluation 1690: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1700: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1710: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1720: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1730: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1740: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1750: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1760: speed 0.040900, force 0.0202 N, moment 0.0065 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1770: speed 0.040900, force 0.0203 N, moment 0.0066 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1780: speed 0.040900, force 0.0205 N, moment 0.0067 Nm, torque margin 0.2559 Nm, penetration 0.000005 m
evaluation 1790: speed 0.040900, force 0.0204 N, moment 0.0066 Nm, torque margin 0.2557 Nm, penetration 0.000005 m
evaluation 1800: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2937 Nm, penetration 0.000003 m
evaluation 1810: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1820: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1830: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1840: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1850: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1860: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2928 Nm, penetration 0.000003 m
evaluation 1870: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2928 Nm, penetration 0.000003 m
evaluation 1880: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2929 Nm, penetration 0.000003 m
evaluation 1890: speed 0.040561, force 0.0197 N, moment 0.0064 Nm, torque margin 0.2930 Nm, penetration 0.000003 m
