evaluation 880: speed 0.148907, force 0.0702 N, moment 0.0228 Nm, torque margin -0.0322 Nm, penetration 0.000097 m
evaluation 890: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 900: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 910: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 920: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 930: speed 0.148907, force 0.0704 N, moment 0.0229 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 940: speed 0.148907, force 0.0701 N, moment 0.0228 Nm, torque margin -0.0327 Nm, penetration 0.000097 m
evaluation 950: speed 0.148907, force 0.0702 N, moment 0.0228 Nm, torque margin -0.0326 Nm, penetration 0.000097 m
evaluation 960: speed 0.153222, force 0.0356 N, moment 0.0115 Nm, torque margin -0.0120 Nm, penetration 0.000092 m
evaluation 970: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 980: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 990: speed 0.153222, force 0.0355 N, moment 0.0115 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1000: speed 0.153222, force 0.0356 N, moment 0.0115 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1010: speed 0.153222, force 0.0356 N, moment 0.0115 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1020: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0136 Nm, penetration 0.000092 m
evaluation 1030: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1040: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1050: speed 0.153222, force 0.0356 N, moment 0.0115 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1060: speed 0.153222, force 0.0356 N, moment 0.0116 Nm, torque margin -0.0133 Nm, penetration 0.000092 m
evaluation 1070: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1080: speed 0.154575, force 0.0371 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1090: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1100: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1110: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1120: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1130: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
