evaluation 900: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0407 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
evaluation 910: speed 0.047162, force 1.8112 N, moment 0.2194 Nm, torque 0.0406 Nm, cone 0.6489 N, maximum constraint 35.224912, feasible false
evaluation 920: speed 0.035691, force 0.7657 N, moment 0.2610 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.313077, feasible false
evaluation 930: speed 0.035691, force 0.7659 N, moment 0.2608 Nm, torque 0.2941 Nm, cone 0.6465 N, maximum constraint 14.317889, feasible false
evaluation 940: speed 0.035691, force 0.7656 N, moment 0.2610 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312015, feasible false
evaluation 950: speed 0.035691, force 0.7656 N, moment 0.2610 Nm, torque 0.2942 Nm, cone 0.6465 N, maximum constraint 14.312099, feasible false
evaluation 960: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2942 Nm, cone 0.6465 N, maximum constraint 14.312610, feasible false
evaluation 970: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312386, feasible false
evaluation 980: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 990: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 1000: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312081, feasible false
evaluation 1010: speed 0.035691, force 0.7784 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.567253, feasible false
evaluation 1020: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312027, feasible false
evaluation 1030: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 1040: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2942 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 1050: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 1060: speed 0.035691, force 0.7656 N, moment 0.2609 Nm, torque 0.2943 Nm, cone 0.6465 N, maximum constraint 14.312057, feasible false
evaluation 1070: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629389, feasible false
evaluation 1080: speed 0.027031, force 0.7316 N, moment 0.1525 Nm, torque 0.2683 Nm, cone 0.4871 N, maximum constraint 13.631297, feasible false
evaluation 1090: speed 0.027031, force 0.7316 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.631234, feasible false
