evaluation 1030: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.083825, feasible false
evaluation 1040: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 1050: speed 0.025000, force 3.0042 N, moment 0.4468 Nm, torque -0.0768 Nm, cone 0.2021 N, maximum constraint 59.084048, feasible false
evaluation 1060: speed 0.025000, force 1.5700 N, moment 0.3541 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.399312, feasible false
evaluation 1070: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1080: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.406734, feasible false
evaluation 1090: speed 0.025000, force 1.5703 N, moment 0.3541 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.406855, feasible false
evaluation 1100: speed 0.025000, force 1.5698 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.395535, feasible false
evaluation 1110: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.406617, feasible false
evaluation 1120: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1130: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1140: speed 0.025000, force 1.5713 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.426935, feasible false
evaluation 1150: speed 0.025000, force 1.5724 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.447904, feasible false
evaluation 1160: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.406091, feasible false
evaluation 1170: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1180: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1190: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1200: speed 0.025000, force 1.5703 N, moment 0.3540 Nm, torque -0.0748 Nm, cone 0.5315 N, maximum constraint 30.405961, feasible false
evaluation 1210: speed 0.025000, force 1.0859 N, moment 0.2481 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.717921, feasible false
evaluation 1220: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1230: speed 0.025000, force 1.0861 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.721213, feasible false
evaluation 1240: speed 0.025000, force 1.0861 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.721516, feasible false
evaluation 1250: speed 0.025000, force 1.0860 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.719621, feasible false
evaluation 1260: speed 0.025000, force 1.0861 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.722939, feasible false
evaluation 1270: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1280: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1290: speed 0.025000, force 1.0860 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.720778, feasible false
evaluation 1300: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723228, feasible false
evaluation 1310: speed 0.025000, force 1.0850 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.700631, feasible false
evaluation 1320: speed 0.025000, force 1.0868 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.736692, feasible false
evaluation 1330: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1340: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1350: speed 0.025000, force 1.0862 N, moment 0.2482 Nm, torque -0.0724 Nm, cone 0.1719 N, maximum constraint 20.723078, feasible false
evaluation 1360: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.796578, feasible false
evaluation 1370: speed 0.025000, force 0.5894 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.787317, feasible false
evaluation 1380: speed 0.025000, force 0.5901 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.802794, feasible false
evaluation 1390: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1400: speed 0.025000, force 0.5897 N, moment 0.1510 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.794765, feasible false
evaluation 1410: speed 0.025000, force 0.5897 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.794781, feasible false
evaluation 1420: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795188, feasible false
evaluation 1430: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795229, feasible false
evaluation 1440: speed 0.025000, force 0.5900 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.800577, feasible false
evaluation 1450: speed 0.025000, force 0.5901 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.802157, feasible false
evaluation 1460: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1470: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1480: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1490: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1500: speed 0.025000, force 0.5898 N, moment 0.1509 Nm, torque -0.0722 Nm, cone 0.1127 N, maximum constraint 10.795147, feasible false
evaluation 1510: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871467, feasible false
evaluation 1520: speed 0.025000, force 0.4435 N, moment 0.1506 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.870735, feasible false
evaluation 1530: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871130, feasible false
evaluation 1540: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871017, feasible false
evaluation 1550: speed 0.025000, force 0.4434 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.868261, feasible false
evaluation 1560: speed 0.025000, force 0.4438 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.875526, feasible false
evaluation 1570: speed 0.025000, force 0.4435 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.870605, feasible false
evaluation 1580: speed 0.025000, force 0.4435 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.869116, feasible false
evaluation 1590: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871018, feasible false
evaluation 1600: speed 0.025000, force 0.4434 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.868335, feasible false
evaluation 1610: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871017, feasible false
evaluation 1620: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871017, feasible false
evaluation 1630: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871017, feasible false
evaluation 1640: speed 0.025000, force 0.4436 N, moment 0.1508 Nm, torque -0.0724 Nm, cone 0.0954 N, maximum constraint 7.871017, feasible false
evaluation 1650: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1660: speed 0.025000, force 0.4439 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.878029, feasible false
evaluation 1670: speed 0.025000, force 0.4442 N, moment 0.1506 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.883310, feasible false
evaluation 1680: speed 0.025000, force 0.4442 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.883015, feasible false
evaluation 1690: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882531, feasible false
evaluation 1700: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1710: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882338, feasible false
evaluation 1720: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1730: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1740: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1750: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1760: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1770: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882465, feasible false
evaluation 1780: speed 0.025000, force 0.4443 N, moment 0.1502 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.886892, feasible false
evaluation 1790: speed 0.025000, force 0.4441 N, moment 0.1503 Nm, torque -0.0725 Nm, cone 0.0728 N, maximum constraint 7.882530, feasible false
evaluation 1800: speed 0.025015, force 0.4687 N, moment 0.1518 Nm, torque -0.0725 Nm, cone 0.0644 N, maximum constraint 8.373947, feasible false
evaluation 1810: speed 0.025000, force 0.4689 N, moment 0.1518 Nm, torque -0.0725 Nm, cone 0.0644 N, maximum constraint 8.377582, feasible false
evaluation 1820: speed 0.025000, force 0.4693 N, moment 0.1518 Nm, torque -0.0725 Nm, cone 0.0644 N, maximum constraint 8.385897, feasible false
evaluation 1830: speed 0.025000, force 0.4689 N, moment 0.1519 Nm, torque -0.0725 Nm, cone 0.0644 N, maximum constraint 8.378098, feasible false
evaluation 1840: speed 0.025000, force 0.4701 N, moment 0.1518 Nm, torque -0.0725 Nm, cone 0.0644 N, maximum constraint 8.402400, feasible false
