evaluation 960: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 970: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 980: speed 0.102217, force 6.5537 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.073947, feasible false
evaluation 990: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 1000: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 1010: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 1020: speed 0.102217, force 6.5520 N, moment 1.0856 Nm, torque -0.3504 Nm, cone 5.2327 N, maximum constraint 130.040086, feasible false
evaluation 1030: speed 0.053456, force 3.7298 N, moment 0.8883 Nm, torque 0.0406 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1040: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1050: speed 0.053433, force 3.7292 N, moment 0.8879 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1060: speed 0.053433, force 3.7290 N, moment 0.8884 Nm, torque 0.0409 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1070: speed 0.053433, force 3.7261 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1080: speed 0.053433, force 3.7277 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1090: speed 0.053433, force 3.7293 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1100: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1110: speed 0.053433, force 3.7290 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1120: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
