evaluation 690: speed 0.186747, force 0.0618 N, moment 0.0200 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 700: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 710: speed 0.186747, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 720: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 730: speed 0.186747, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0093 Nm, penetration 0.000040 m
evaluation 740: speed 0.186400, force 0.0582 N, moment 0.0189 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 750: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 760: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 770: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 780: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 790: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 800: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 810: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 820: speed 0.186425, force 0.0575 N, moment 0.0187 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 830: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 840: speed 0.186425, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0089 Nm, penetration 0.000038 m
evaluation 850: speed 0.186330, force 0.0609 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 860: speed 0.186330, force 0.0606 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 870: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 880: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 890: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000038 m
evaluation 900: speed 0.186330, force 0.0613 N, moment 0.0199 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 910: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 920: speed 0.186330, force 0.0603 N, moment 0.0195 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 930: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 940: speed 0.186330, force 0.0608 N, moment 0.0197 Nm, torque margin -0.0088 Nm, penetration 0.000037 m
evaluation 950: speed 0.186033, force 0.0583 N, moment 0.0189 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 960: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 970: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 980: speed 0.186057, force 0.0580 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 990: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1000: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1010: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1020: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1030: speed 0.186057, force 0.0576 N, moment 0.0187 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1040: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1050: speed 0.186057, force 0.0581 N, moment 0.0188 Nm, torque margin -0.0084 Nm, penetration 0.000035 m
evaluation 1060: speed 0.185311, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1070: speed 0.185311, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1080: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1090: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1100: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1110: speed 0.185311, force 0.0508 N, moment 0.0165 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1120: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1130: speed 0.185311, force 0.0498 N, moment 0.0161 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1140: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1150: speed 0.185311, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0071 Nm, penetration 0.000033 m
evaluation 1160: speed 0.184643, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1170: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1180: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1190: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1200: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1210: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1220: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1230: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1240: speed 0.184667, force 0.0489 N, moment 0.0159 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1250: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1260: speed 0.184667, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0060 Nm, penetration 0.000031 m
evaluation 1270: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1280: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1290: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1300: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1310: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0105 Nm, penetration 0.000033 m
evaluation 1320: speed 0.185311, force 0.0499 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1330: speed 0.185311, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1340: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1350: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1360: speed 0.185311, force 0.0498 N, moment 0.0162 Nm, torque margin -0.0104 Nm, penetration 0.000033 m
evaluation 1370: speed 0.184177, force 0.0461 N, moment 0.0148 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1380: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1390: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1400: speed 0.184152, force 0.0465 N, moment 0.0150 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1410: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1420: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1430: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1440: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1450: speed 0.184152, force 0.0457 N, moment 0.0147 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1460: speed 0.184152, force 0.0465 N, moment 0.0149 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1470: speed 0.184152, force 0.0467 N, moment 0.0150 Nm, torque margin -0.0084 Nm, penetration 0.000031 m
evaluation 1480: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1490: speed 0.183227, force 0.0455 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1500: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1510: speed 0.183227, force 0.0455 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1520: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0069 Nm, penetration 0.000029 m
evaluation 1530: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1540: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1550: speed 0.183227, force 0.0455 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1560: speed 0.183227, force 0.0454 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1570: speed 0.183227, force 0.0455 N, moment 0.0146 Nm, torque margin -0.0068 Nm, penetration 0.000029 m
evaluation 1580: speed 0.182990, force 0.0482 N, moment 0.0156 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1590: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1600: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1610: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1620: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1630: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1640: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1650: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1660: speed 0.182966, force 0.0488 N, moment 0.0158 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1670: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1680: speed 0.182966, force 0.0484 N, moment 0.0157 Nm, torque margin -0.0066 Nm, penetration 0.000028 m
evaluation 1690: speed 0.182901, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1700: speed 0.182901, force 0.0520 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1710: speed 0.182901, force 0.0520 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1720: speed 0.182901, force 0.0519 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1730: speed 0.182901, force 0.0520 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1740: speed 0.182901, force 0.0520 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1750: speed 0.182901, force 0.0517 N, moment 0.0168 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1760: speed 0.182901, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1770: speed 0.182901, force 0.0519 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1780: speed 0.182901, force 0.0520 N, moment 0.0169 Nm, torque margin -0.0065 Nm, penetration 0.000028 m
evaluation 1790: speed 0.182725, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1800: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1810: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1820: speed 0.182701, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1830: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1840: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1850: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1860: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1870: speed 0.182701, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1880: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1890: speed 0.182701, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0062 Nm, penetration 0.000028 m
evaluation 1900: speed 0.182632, force 0.0518 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1910: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1920: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1930: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1940: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1950: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1960: speed 0.182632, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1970: speed 0.182632, force 0.0518 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1980: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 1990: speed 0.182632, force 0.0519 N, moment 0.0168 Nm, torque margin -0.0061 Nm, penetration 0.000028 m
evaluation 2000: speed 0.182454, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2010: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2020: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2030: speed 0.182430, force 0.0497 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2040: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2050: speed 0.182430, force 0.0497 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2060: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2070: speed 0.182430, force 0.0497 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2080: speed 0.182430, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2090: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2100: speed 0.182430, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0058 Nm, penetration 0.000027 m
evaluation 2110: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2120: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2130: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2140: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2150: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2160: speed 0.182377, force 0.0517 N, moment 0.0168 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2170: speed 0.182377, force 0.0514 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2180: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2190: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2200: speed 0.182377, force 0.0516 N, moment 0.0167 Nm, torque margin -0.0057 Nm, penetration 0.000027 m
evaluation 2210: speed 0.182252, force 0.0495 N, moment 0.0161 Nm, torque margin -0.0054 Nm, penetration 0.000027 m
evaluation 2220: speed 0.182228, force 0.0497 N, moment 0.0161 Nm, torque margin -0.0054 Nm, penetration 0.000027 m
evaluation 2230: speed 0.182228, force 0.0497 N, moment 0.0161 Nm, torque margin -0.0054 Nm, penetration 0.000027 m
