valid report 450: speed 0.211344, force 12.069367 N, moment 2.978688 Nm, torque -0.260541 Nm, maximum inequality 240.387348, feasible false
valid report 460: speed 0.211344, force 12.069373 N, moment 2.978691 Nm, torque -0.260541 Nm, maximum inequality 240.387466, feasible false
valid report 470: speed 0.211344, force 12.069373 N, moment 2.978682 Nm, torque -0.260541 Nm, maximum inequality 240.387451, feasible false
valid report 480: speed 0.210586, force 11.959953 N, moment 2.946172 Nm, torque -0.253649 Nm, maximum inequality 238.199061, feasible false
valid report 490: speed 0.210586, force 11.959979 N, moment 2.946108 Nm, torque -0.253951 Nm, maximum inequality 238.199579, feasible false
valid report 500: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253641 Nm, maximum inequality 238.199374, feasible false
valid report 510: speed 0.210586, force 11.959965 N, moment 2.946168 Nm, torque -0.253649 Nm, maximum inequality 238.199309, feasible false
valid report 520: speed 0.210586, force 11.959263 N, moment 2.946140 Nm, torque -0.253649 Nm, maximum inequality 238.185253, feasible false
valid report 530: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253649 Nm, maximum inequality 238.199374, feasible false
valid report 540: speed 0.210586, force 11.959942 N, moment 2.946155 Nm, torque -0.253649 Nm, maximum inequality 238.198831, feasible false
valid report 550: speed 0.210586, force 11.959843 N, moment 2.946301 Nm, torque -0.253649 Nm, maximum inequality 238.196859, feasible false
valid report 560: speed 0.210586, force 11.943495 N, moment 2.946144 Nm, torque -0.253070 Nm, maximum inequality 237.869897, feasible false
valid report 570: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253648 Nm, maximum inequality 238.199374, feasible false
valid report 580: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253539 Nm, maximum inequality 238.199374, feasible false
valid report 590: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253643 Nm, maximum inequality 238.199374, feasible false
valid report 600: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253636 Nm, maximum inequality 238.199374, feasible false
valid report 610: speed 0.210586, force 11.959969 N, moment 2.946151 Nm, torque -0.253649 Nm, maximum inequality 238.199374, feasible false
valid report 620: speed 0.210586, force 11.952618 N, moment 2.946073 Nm, torque -0.253649 Nm, maximum inequality 238.052359, feasible false
valid report 630: speed 0.208549, force 11.789303 N, moment 2.894770 Nm, torque -0.239133 Nm, maximum inequality 234.786066, feasible false
valid report 640: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779946, feasible false
valid report 650: speed 0.208576, force 11.789007 N, moment 2.894668 Nm, torque -0.239719 Nm, maximum inequality 234.780135, feasible false
valid report 660: speed 0.208576, force 11.788480 N, moment 2.894934 Nm, torque -0.239509 Nm, maximum inequality 234.769606, feasible false
valid report 670: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779946, feasible false
valid report 680: speed 0.208576, force 11.789013 N, moment 2.894521 Nm, torque -0.239509 Nm, maximum inequality 234.780257, feasible false
valid report 690: speed 0.208576, force 11.788997 N, moment 2.894756 Nm, torque -0.239509 Nm, maximum inequality 234.779945, feasible false
valid report 700: speed 0.208576, force 11.788976 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779511, feasible false
valid report 710: speed 0.208576, force 11.788978 N, moment 2.894676 Nm, torque -0.239509 Nm, maximum inequality 234.779561, feasible false
valid report 720: speed 0.208576, force 11.789033 N, moment 2.894681 Nm, torque -0.239621 Nm, maximum inequality 234.780661, feasible false
valid report 730: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239517 Nm, maximum inequality 234.779946, feasible false
