evaluation 710: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 720: speed 0.060685, force 1.1794 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 730: speed 0.060685, force 1.1795 N, moment 0.5853 Nm, torque -0.1971 Nm, cone 5.0784 N, maximum constraint 101.567853, feasible false
evaluation 740: speed 0.058657, force 1.0882 N, moment 0.5677 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 750: speed 0.058657, force 1.0872 N, moment 0.5678 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 760: speed 0.058657, force 1.0871 N, moment 0.5678 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 770: speed 0.058657, force 1.0871 N, moment 0.5678 Nm, torque -0.1916 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 780: speed 0.058657, force 1.0861 N, moment 0.5687 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 790: speed 0.058657, force 1.0872 N, moment 0.5678 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 800: speed 0.058657, force 1.0875 N, moment 0.5679 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 810: speed 0.058657, force 1.0872 N, moment 0.5678 Nm, torque -0.1916 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 820: speed 0.058657, force 1.0872 N, moment 0.5678 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 830: speed 0.058657, force 1.0868 N, moment 0.5678 Nm, torque -0.1915 Nm, cone 4.9555 N, maximum constraint 99.110617, feasible false
evaluation 840: speed 0.058035, force 1.0296 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 850: speed 0.058035, force 1.0296 N, moment 0.5754 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 860: speed 0.058035, force 1.0263 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 870: speed 0.058035, force 1.0296 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 880: speed 0.058035, force 1.0296 N, moment 0.5760 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 890: speed 0.058035, force 1.0301 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 900: speed 0.058035, force 1.0288 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 910: speed 0.058035, force 1.0296 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 920: speed 0.058035, force 1.0296 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 930: speed 0.058035, force 1.0295 N, moment 0.5759 Nm, torque -0.1980 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 940: speed 0.058035, force 1.0284 N, moment 0.5759 Nm, torque -0.1981 Nm, cone 4.8972 N, maximum constraint 97.943230, feasible false
evaluation 950: speed 0.055718, force 1.0580 N, moment 0.5460 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 960: speed 0.055718, force 1.0581 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 970: speed 0.055718, force 1.0582 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
