evaluation 700: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 710: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2634 Nm, penetration 0.000493 m
evaluation 720: speed 0.131091, force 9.8066 N, moment 4.7119 Nm, torque margin -0.2633 Nm, penetration 0.000493 m
evaluation 730: speed 0.131119, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 740: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 750: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 760: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 770: speed 0.131129, force 9.7990 N, moment 4.7100 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 780: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 790: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 800: speed 0.131129, force 9.7992 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 810: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2636 Nm, penetration 0.000493 m
evaluation 820: speed 0.131129, force 9.7991 N, moment 4.7101 Nm, torque margin -0.2637 Nm, penetration 0.000493 m
evaluation 830: speed 0.131251, force 9.7803 N, moment 4.7053 Nm, torque margin -0.2648 Nm, penetration 0.000491 m
evaluation 840: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 850: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 860: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2646 Nm, penetration 0.000491 m
evaluation 870: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 880: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 890: speed 0.131241, force 9.7807 N, moment 4.7055 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
