evaluation 840: speed 0.028793, force 0.0772 N, moment 0.0249 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 850: speed 0.028793, force 0.0771 N, moment 0.0249 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 860: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 870: speed 0.028793, force 6.7352 N, moment 2.9455 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 880: speed 0.028793, force 0.0749 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 890: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 900: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000295 m
evaluation 910: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 920: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 930: speed 0.028793, force 0.0751 N, moment 0.0243 Nm, torque margin 0.7493 Nm, penetration 0.000296 m
evaluation 940: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 950: speed 0.028793, force 0.0750 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 960: speed 0.028804, force 0.0747 N, moment 0.0242 Nm, torque margin 0.7491 Nm, penetration 0.000296 m
evaluation 970: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 980: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 990: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1000: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1010: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1020: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1030: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7491 Nm, penetration 0.000296 m
evaluation 1040: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1050: speed 0.028793, force 0.0747 N, moment 0.0242 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1060: speed 0.028793, force 0.0747 N, moment 0.0241 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1070: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1080: speed 0.028793, force 6.7359 N, moment 2.9467 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
