evaluation 690: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 700: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 710: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 720: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 730: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 740: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 750: speed 0.036040, force 1.7119 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 760: speed 0.036040, force 1.7120 N, moment 0.1883 Nm, torque 0.5141 Nm, cone 2.1484 N, maximum constraint 42.967254, feasible false
evaluation 770: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 780: speed 0.025000, force 1.1725 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 790: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 800: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 810: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 820: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 830: speed 0.025000, force 1.1721 N, moment 0.1794 Nm, torque 0.5650 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 840: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 850: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 860: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 870: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 880: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 890: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 900: speed 0.025000, force 1.1721 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 910: speed 0.025000, force 1.1722 N, moment 0.1794 Nm, torque 0.5644 Nm, cone 1.6118 N, maximum constraint 32.236855, feasible false
evaluation 920: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 930: speed 0.025000, force 0.9208 N, moment 0.2711 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.415706, feasible false
evaluation 940: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409333, feasible false
evaluation 950: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.410452, feasible false
evaluation 960: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409670, feasible false
evaluation 970: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 980: speed 0.025000, force 0.9204 N, moment 0.2713 Nm, torque 0.5999 Nm, cone 0.2432 N, maximum constraint 17.408044, feasible false
evaluation 990: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1000: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1010: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1020: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1030: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1040: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409875, feasible false
evaluation 1050: speed 0.025000, force 0.9205 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.410248, feasible false
evaluation 1060: speed 0.025000, force 0.9186 N, moment 0.2713 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.372531, feasible false
evaluation 1070: speed 0.025000, force 0.9205 N, moment 0.2712 Nm, torque 0.5993 Nm, cone 0.2432 N, maximum constraint 17.409563, feasible false
evaluation 1080: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786258, feasible false
evaluation 1090: speed 0.025000, force 0.6395 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.790540, feasible false
evaluation 1100: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786215, feasible false
evaluation 1110: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1120: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786849, feasible false
