evaluation 1110: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969544, feasible false
evaluation 1120: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1130: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1140: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1150: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1160: speed 0.025000, force 2.0985 N, moment 0.7202 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1170: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1180: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1190: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1200: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1210: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1220: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1230: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1240: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1250: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1260: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1270: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1280: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1290: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1300: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1310: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1320: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1330: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1340: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1350: speed 0.025000, force 2.0985 N, moment 0.7203 Nm, torque -0.4022 Nm, cone 1.1440 N, maximum constraint 40.969575, feasible false
evaluation 1360: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1370: speed 0.025000, force 1.5625 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1380: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3796 Nm, cone 0.0751 N, maximum constraint 36.961859, feasible false
evaluation 1390: speed 0.025000, force 1.5630 N, moment 0.3487 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1400: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1410: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1420: speed 0.025000, force 1.5628 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975847, feasible false
evaluation 1430: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3797 Nm, cone 0.0751 N, maximum constraint 36.970355, feasible false
evaluation 1440: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3797 Nm, cone 0.0751 N, maximum constraint 36.968861, feasible false
evaluation 1450: speed 0.025000, force 1.5628 N, moment 0.3485 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1460: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1470: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1480: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1490: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0745 N, maximum constraint 36.975111, feasible false
evaluation 1500: speed 0.025000, force 1.5626 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1510: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1520: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1530: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1540: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1550: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1560: speed 0.025000, force 1.5626 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1570: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1580: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1590: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1600: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1610: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1620: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
