evaluation 920: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 930: speed 0.077981, force 0.0537 N, moment 0.0174 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 940: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 950: speed 0.077981, force 0.0536 N, moment 0.0173 Nm, torque margin -0.0862 Nm, penetration 0.000027 m
evaluation 960: speed 0.078174, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 970: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 980: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 990: speed 0.078180, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1000: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1010: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1020: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1030: speed 0.078180, force 0.0502 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1040: speed 0.078180, force 0.0498 N, moment 0.0161 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1050: speed 0.078180, force 0.0502 N, moment 0.0162 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1060: speed 0.078180, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0864 Nm, penetration 0.000027 m
evaluation 1070: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1080: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1090: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1100: speed 0.078246, force 0.0514 N, moment 0.0166 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1110: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1120: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1130: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1140: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1150: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1160: speed 0.078246, force 0.0513 N, moment 0.0166 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1170: speed 0.078246, force 0.0515 N, moment 0.0167 Nm, torque margin -0.0865 Nm, penetration 0.000027 m
evaluation 1180: speed 0.078426, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1190: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1200: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1210: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1220: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1230: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1240: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1250: speed 0.078426, force 0.0492 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1260: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1270: speed 0.078426, force 0.0493 N, moment 0.0159 Nm, torque margin -0.0866 Nm, penetration 0.000027 m
evaluation 1280: speed 0.078478, force 0.0510 N, moment 0.0165 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1290: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1300: speed 0.078484, force 0.0509 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1310: speed 0.078484, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1320: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1330: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1340: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1350: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1360: speed 0.078484, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1370: speed 0.078484, force 0.0508 N, moment 0.0164 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1380: speed 0.078484, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1390: speed 0.078537, force 0.0486 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1400: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1410: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1420: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1430: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1440: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1450: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1460: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1470: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1480: speed 0.078537, force 0.0487 N, moment 0.0157 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1490: speed 0.078711, force 0.0520 N, moment 0.0168 Nm, torque margin -0.0869 Nm, penetration 0.000027 m
evaluation 1500: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1510: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1520: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1530: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1540: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1550: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1560: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1570: speed 0.078554, force 0.0493 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1580: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1590: speed 0.078554, force 0.0494 N, moment 0.0160 Nm, torque margin -0.0867 Nm, penetration 0.000027 m
evaluation 1600: speed 0.078595, force 0.0496 N, moment 0.0160 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
