valid report 890: speed 0.025203, force 0.119853 N, moment 0.360719 Nm, torque 0.956289 Nm, maximum inequality 72.472640, feasible false
valid report 900: speed 0.025203, force 0.119869 N, moment 0.360656 Nm, torque 0.956152 Nm, maximum inequality 72.472640, feasible false
valid report 910: speed 0.025203, force 0.119564 N, moment 0.360727 Nm, torque 0.954723 Nm, maximum inequality 72.472640, feasible false
valid report 920: speed 0.025218, force 0.119695 N, moment 0.360711 Nm, torque 0.956168 Nm, maximum inequality 72.472640, feasible false
valid report 930: speed 0.025203, force 0.119687 N, moment 0.360718 Nm, torque 0.956194 Nm, maximum inequality 72.472640, feasible false
valid report 940: speed 0.025203, force 0.119498 N, moment 0.360898 Nm, torque 0.956194 Nm, maximum inequality 72.472640, feasible false
valid report 950: speed 0.025203, force 0.119687 N, moment 0.360619 Nm, torque 0.956167 Nm, maximum inequality 72.472640, feasible false
valid report 960: speed 0.025203, force 0.119687 N, moment 0.360718 Nm, torque 0.956194 Nm, maximum inequality 72.472640, feasible false
valid report 970: speed 0.025203, force 0.119687 N, moment 0.360718 Nm, torque 0.956194 Nm, maximum inequality 72.472640, feasible false
valid report 980: speed 0.025205, force 0.116185 N, moment 0.282184 Nm, torque 0.995220 Nm, maximum inequality 57.056359, feasible false
valid report 990: speed 0.025205, force 0.109575 N, moment 0.282192 Nm, torque 0.995242 Nm, maximum inequality 57.056359, feasible false
valid report 1000: speed 0.025205, force 0.109638 N, moment 0.282035 Nm, torque 0.995214 Nm, maximum inequality 57.056359, feasible false
valid report 1010: speed 0.025205, force 0.109676 N, moment 0.282176 Nm, torque 0.995459 Nm, maximum inequality 57.056359, feasible false
valid report 1020: speed 0.025205, force 0.110984 N, moment 0.282210 Nm, torque 0.995270 Nm, maximum inequality 57.056359, feasible false
valid report 1030: speed 0.025205, force 0.109650 N, moment 0.282186 Nm, torque 0.995223 Nm, maximum inequality 57.056359, feasible false
valid report 1040: speed 0.025205, force 0.109649 N, moment 0.282186 Nm, torque 0.995223 Nm, maximum inequality 57.056359, feasible false
valid report 1050: speed 0.025205, force 0.109649 N, moment 0.282186 Nm, torque 0.995223 Nm, maximum inequality 57.056359, feasible false
valid report 1060: speed 0.025205, force 0.109625 N, moment 0.282160 Nm, torque 0.995223 Nm, maximum inequality 57.056359, feasible false
valid report 1070: speed 0.025205, force 0.109652 N, moment 0.282181 Nm, torque 0.995219 Nm, maximum inequality 57.056359, feasible false
valid report 1080: speed 0.025205, force 0.109649 N, moment 0.282186 Nm, torque 0.995223 Nm, maximum inequality 57.056359, feasible false
valid report 1090: speed 0.025210, force 0.080128 N, moment 0.127861 Nm, torque 1.034874 Nm, maximum inequality 22.554292, feasible false
valid report 1100: speed 0.025210, force 0.073309 N, moment 0.127851 Nm, torque 1.035013 Nm, maximum inequality 22.554292, feasible false
valid report 1110: speed 0.025210, force 0.076067 N, moment 0.127843 Nm, torque 1.035050 Nm, maximum inequality 22.554292, feasible false
valid report 1120: speed 0.025210, force 0.076076 N, moment 0.128234 Nm, torque 1.034979 Nm, maximum inequality 22.554292, feasible false
valid report 1130: speed 0.025210, force 0.076352 N, moment 0.127869 Nm, torque 1.034723 Nm, maximum inequality 22.554292, feasible false
valid report 1140: speed 0.025210, force 0.076114 N, moment 0.127888 Nm, torque 1.035000 Nm, maximum inequality 22.554292, feasible false
valid report 1150: speed 0.025210, force 0.076075 N, moment 0.127817 Nm, torque 1.035000 Nm, maximum inequality 22.554292, feasible false
valid report 1160: speed 0.025210, force 0.076078 N, moment 0.127860 Nm, torque 1.035000 Nm, maximum inequality 22.554292, feasible false
valid report 1170: speed 0.025210, force 0.076076 N, moment 0.127859 Nm, torque 1.035000 Nm, maximum inequality 22.554292, feasible false
valid report 1180: speed 0.025210, force 0.076078 N, moment 0.127860 Nm, torque 1.034999 Nm, maximum inequality 22.554292, feasible false
valid report 1190: speed 0.025210, force 0.076078 N, moment 0.127860 Nm, torque 1.035000 Nm, maximum inequality 22.554292, feasible false
