evaluation 590: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 600: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678627, feasible false
evaluation 610: speed 0.150440, force 13.5339 N, moment 1.4403 Nm, torque -0.5118 Nm, cone 1.7387 N, maximum constraint 269.678483, feasible false
evaluation 620: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 630: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 640: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 650: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 660: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 670: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 680: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 690: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 700: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 710: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 720: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 730: speed 0.150440, force 13.5339 N, moment 1.4403 Nm, torque -0.5118 Nm, cone 1.7387 N, maximum constraint 269.678483, feasible false
evaluation 740: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 750: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
