evaluation 790: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 800: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 810: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 820: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 830: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 840: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 850: speed 0.056924, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9789 Nm, penetration 0.000000 m
evaluation 860: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 870: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 880: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 890: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 900: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9775 Nm, penetration 0.000000 m
evaluation 910: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9775 Nm, penetration 0.000000 m
evaluation 920: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 930: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 940: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9776 Nm, penetration 0.000000 m
evaluation 950: speed 0.057574, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9775 Nm, penetration 0.000000 m
evaluation 960: speed 0.057810, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 970: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 980: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 990: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9769 Nm, penetration 0.000000 m
evaluation 1000: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1010: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1020: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1030: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1040: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1050: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9770 Nm, penetration 0.000000 m
evaluation 1060: speed 0.057815, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9771 Nm, penetration 0.000000 m
evaluation 1070: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1080: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1090: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1100: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1110: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1120: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1130: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1140: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1150: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9740 Nm, penetration 0.000000 m
evaluation 1160: speed 0.058463, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9741 Nm, penetration 0.000000 m
evaluation 1170: speed 0.060784, force 0.0024 N, moment 0.0008 Nm, torque margin 0.9606 Nm, penetration 0.000006 m
evaluation 1180: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1190: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1200: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1210: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1220: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1230: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1240: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1250: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1260: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
evaluation 1270: speed 0.058700, force 0.0023 N, moment 0.0008 Nm, torque margin 0.9729 Nm, penetration 0.000000 m
