evaluation 810: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 820: speed 0.187759, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 830: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 840: speed 0.187759, force 0.0543 N, moment 0.0176 Nm, torque margin -0.0009 Nm, penetration 0.000047 m
evaluation 850: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 860: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 870: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 880: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 890: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 900: speed 0.187698, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 910: speed 0.187698, force 0.0537 N, moment 0.0174 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 920: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 930: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 940: speed 0.187698, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0007 Nm, penetration 0.000047 m
evaluation 950: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 960: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 970: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 980: speed 0.187675, force 0.0546 N, moment 0.0177 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 990: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1000: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1010: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1020: speed 0.187675, force 0.0558 N, moment 0.0181 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1030: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1040: speed 0.187675, force 0.0545 N, moment 0.0177 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1050: speed 0.187675, force 0.0548 N, moment 0.0178 Nm, torque margin -0.0006 Nm, penetration 0.000047 m
evaluation 1060: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1070: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1080: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1090: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1100: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0021 Nm, penetration 0.000047 m
evaluation 1110: speed 0.187616, force 0.0539 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1120: speed 0.187616, force 0.0542 N, moment 0.0176 Nm, torque margin -0.0018 Nm, penetration 0.000047 m
evaluation 1130: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1140: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1150: speed 0.187616, force 0.0540 N, moment 0.0175 Nm, torque margin -0.0015 Nm, penetration 0.000047 m
evaluation 1160: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1170: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1180: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
