valid report 1150: speed 0.032878, force 0.049195 N, moment 0.019998 Nm, torque 1.069572 Nm, maximum inequality 2.127315, feasible false
valid report 1160: speed 0.032878, force 0.049195 N, moment 0.019962 Nm, torque 1.069572 Nm, maximum inequality 2.127315, feasible false
valid report 1170: speed 0.032878, force 0.049089 N, moment 0.019959 Nm, torque 1.069572 Nm, maximum inequality 2.127315, feasible false
valid report 1180: speed 0.032878, force 0.049185 N, moment 0.019991 Nm, torque 1.069657 Nm, maximum inequality 2.127315, feasible false
valid report 1190: speed 0.040818, force 0.053999 N, moment 0.024573 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1200: speed 0.040818, force 0.054251 N, moment 0.024656 Nm, torque 1.047257 Nm, maximum inequality 12.991667, feasible false
valid report 1210: speed 0.040818, force 0.053833 N, moment 0.024608 Nm, torque 1.047260 Nm, maximum inequality 12.991667, feasible false
valid report 1220: speed 0.040818, force 0.054168 N, moment 0.024573 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1230: speed 0.040818, force 0.054058 N, moment 0.024577 Nm, torque 1.047265 Nm, maximum inequality 12.991667, feasible false
valid report 1240: speed 0.040821, force 0.053846 N, moment 0.024588 Nm, torque 1.047266 Nm, maximum inequality 12.991667, feasible false
valid report 1250: speed 0.040818, force 0.054143 N, moment 0.024573 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1260: speed 0.040818, force 0.054008 N, moment 0.024637 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1270: speed 0.040818, force 0.053842 N, moment 0.024525 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1280: speed 0.040818, force 0.053928 N, moment 0.024573 Nm, torque 1.047291 Nm, maximum inequality 12.991667, feasible false
valid report 1290: speed 0.040818, force 0.054001 N, moment 0.024550 Nm, torque 1.047361 Nm, maximum inequality 12.991667, feasible false
valid report 1300: speed 0.043456, force 0.054677 N, moment 0.024960 Nm, torque 1.040596 Nm, maximum inequality 11.224218, feasible false
valid report 1310: speed 0.043456, force 0.054219 N, moment 0.024898 Nm, torque 1.040607 Nm, maximum inequality 11.224218, feasible false
valid report 1320: speed 0.043456, force 0.053944 N, moment 0.024872 Nm, torque 1.040707 Nm, maximum inequality 11.224218, feasible false
valid report 1330: speed 0.043456, force 0.054063 N, moment 0.024912 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
valid report 1340: speed 0.043456, force 0.054135 N, moment 0.024903 Nm, torque 1.039879 Nm, maximum inequality 11.224218, feasible false
valid report 1350: speed 0.043441, force 0.054309 N, moment 0.024902 Nm, torque 1.040627 Nm, maximum inequality 11.224218, feasible false
valid report 1360: speed 0.043456, force 0.054144 N, moment 0.024901 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
valid report 1370: speed 0.043456, force 0.054199 N, moment 0.024818 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
