evaluation 1060: speed 0.059078, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1070: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1270 Nm, penetration 0.000000 m
evaluation 1080: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1090: speed 0.059088, force 0.0081 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1100: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1110: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1120: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1274 Nm, penetration 0.000000 m
evaluation 1130: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1140: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1150: speed 0.059088, force 0.0081 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1160: speed 0.059088, force 0.0080 N, moment 0.0026 Nm, torque margin 0.1275 Nm, penetration 0.000000 m
evaluation 1170: speed 0.058981, force 0.0075 N, moment 0.0024 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1180: speed 0.058981, force 0.0083 N, moment 0.0027 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1190: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1200: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1210: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1220: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1230: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1240: speed 0.058981, force 0.0075 N, moment 0.0024 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1250: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1260: speed 0.058981, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1279 Nm, penetration 0.000000 m
evaluation 1270: speed 0.058943, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1280: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1273 Nm, penetration 0.000000 m
evaluation 1290: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1300: speed 0.058953, force 0.0075 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1310: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1320: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1330: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1277 Nm, penetration 0.000000 m
evaluation 1340: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1350: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1360: speed 0.058953, force 0.0076 N, moment 0.0025 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1370: speed 0.058953, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1278 Nm, penetration 0.000000 m
evaluation 1380: speed 0.058946, force 0.0073 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1390: speed 0.058946, force 0.0082 N, moment 0.0027 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1400: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1410: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1420: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1430: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
