evaluation 730: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 740: speed 0.085326, force 0.0383 N, moment 0.0124 Nm, torque margin 0.0768 Nm, penetration 0.000068 m
evaluation 750: speed 0.088732, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0269 Nm, penetration 0.000073 m
evaluation 760: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 770: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 780: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 790: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 800: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 810: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 820: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 830: speed 0.088744, force 0.0459 N, moment 0.0148 Nm, torque margin -0.0272 Nm, penetration 0.000073 m
evaluation 840: speed 0.088744, force 0.0453 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 850: speed 0.088744, force 0.0452 N, moment 0.0146 Nm, torque margin -0.0273 Nm, penetration 0.000073 m
evaluation 860: speed 0.089288, force 0.0441 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 870: speed 0.089288, force 0.0444 N, moment 0.0143 Nm, torque margin -0.0033 Nm, penetration 0.000072 m
evaluation 880: speed 0.089288, force 0.0442 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 890: speed 0.089288, force 0.0442 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 900: speed 0.089288, force 0.0443 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 910: speed 0.089288, force 0.0443 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 920: speed 0.089288, force 0.0443 N, moment 0.0143 Nm, torque margin -0.0033 Nm, penetration 0.000072 m
evaluation 930: speed 0.089288, force 0.0443 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 940: speed 0.089288, force 0.0442 N, moment 0.0143 Nm, torque margin -0.0034 Nm, penetration 0.000072 m
evaluation 950: speed 0.089288, force 0.0442 N, moment 0.0143 Nm, torque margin -0.0035 Nm, penetration 0.000072 m
evaluation 960: speed 0.091545, force 0.0485 N, moment 0.0157 Nm, torque margin -0.0036 Nm, penetration 0.000071 m
evaluation 970: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 980: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 990: speed 0.091536, force 0.0485 N, moment 0.0157 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1000: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1010: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1020: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1030: speed 0.091536, force 0.0480 N, moment 0.0155 Nm, torque margin -0.0034 Nm, penetration 0.000071 m
evaluation 1040: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1050: speed 0.091536, force 0.0485 N, moment 0.0157 Nm, torque margin -0.0036 Nm, penetration 0.000071 m
evaluation 1060: speed 0.091536, force 0.0484 N, moment 0.0156 Nm, torque margin -0.0033 Nm, penetration 0.000071 m
evaluation 1070: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1080: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1090: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0092 Nm, penetration 0.000071 m
evaluation 1100: speed 0.098252, force 0.0558 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1110: speed 0.098252, force 0.0558 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1120: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
