smoothing 0.003 evaluation 2420: force 0.0018, moment 0.0004, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2440: force 0.0018, moment 0.0006, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2460: force 0.0065, moment 0.0017, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2480: force 0.0018, moment 0.0004, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2500: force 0.0038, moment 0.0021, torque Some(1.216678405299069)
smoothing 0.003 evaluation 2520: force 0.0028, moment 0.0012, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2540: force 0.0018, moment 0.0009, torque Some(1.216675963807969)
smoothing 0.003 evaluation 2560: force 0.0017, moment 0.0003, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2580: force 0.0020, moment 0.0009, torque Some(1.2167649518821877)
smoothing 0.003 evaluation 2600: force 0.0016, moment 0.0004, torque Some(1.2166769342718085)
smoothing 0.003 evaluation 2620: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2640: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2660: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2680: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2700: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2720: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2740: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2760: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2780: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2800: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2820: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2840: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2860: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2880: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2900: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2920: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2940: force 0.0117, moment 0.0032, torque Some(1.189066533632788)
smoothing 0.003 evaluation 2960: force 0.0117, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 2980: force 0.0111, moment 0.0032, torque Some(1.1891663381745978)
smoothing 0.003 evaluation 3000: force 0.0117, moment 0.0032, torque Some(1.1890638674061833)
smoothing 0.003 evaluation 3020: force 0.0119, moment 0.0032, torque Some(1.1890665335908166)
smoothing 0.003 evaluation 3040: force 0.0062, moment 0.0017, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3060: force 0.0012, moment 0.0004, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3080: force 0.0041, moment 0.0019, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3100: force 0.0026, moment 0.0012, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3120: force 0.0012, moment 0.0012, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3140: force 0.0017, moment 0.0005, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3160: force 0.0024, moment 0.0011, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3180: force 0.0012, moment 0.0003, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3200: force 0.0016, moment 0.0006, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3220: force 0.0062, moment 0.0017, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3240: force 0.0012, moment 0.0003, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3260: force 0.0043, moment 0.0022, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3280: force 0.0026, moment 0.0011, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3300: force 0.0012, moment 0.0012, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3320: force 0.0018, moment 0.0005, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3340: force 0.0025, moment 0.0011, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3360: force 0.0012, moment 0.0003, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3380: force 0.0015, moment 0.0004, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3400: force 0.0048, moment 0.0013, torque Some(1.1816145396339062)
smoothing 0.003 evaluation 3420: force 0.0010, moment 0.0003, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3440: force 0.0020, moment 0.0014, torque Some(1.181502206082043)
smoothing 0.003 evaluation 3460: force 0.0018, moment 0.0008, torque Some(1.1816182761112133)
smoothing 0.003 evaluation 3480: force 0.0080, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3500: force 0.0079, moment 0.0026, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3520: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3540: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3560: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3580: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3600: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3620: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3640: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3660: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3680: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3700: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3720: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3740: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3760: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3780: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3800: force 0.0079, moment 0.0028, torque Some(1.159617066736235)
smoothing 0.003 evaluation 3820: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3840: force 0.0079, moment 0.0028, torque Some(1.1596149360075516)
smoothing 0.003 evaluation 3860: force 0.0079, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3880: force 0.0077, moment 0.0028, torque Some(1.1597055643894008)
smoothing 0.003 evaluation 3900: force 0.0077, moment 0.0028, torque Some(1.1596155961037105)
smoothing 0.003 evaluation 3920: force 0.0013, moment 0.0006, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 3940: force 0.0063, moment 0.0017, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 3960: force 0.0011, moment 0.0005, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 3980: force 0.0024, moment 0.0002, torque Some(1.1536221948110819)
