smoothing 0.00001 evaluation 2900: force 1.8866, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 2920: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 2940: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 2960: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 2980: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3000: force 1.8868, moment 0.6742, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3020: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3040: force 1.8868, moment 0.6742, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3060: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3080: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3100: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3120: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3140: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3160: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3180: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3200: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3220: force 1.8868, moment 0.6743, torque Some(-0.0011927384213891168)
smoothing 0.00001 evaluation 3240: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3260: force 1.8868, moment 0.6743, torque Some(-0.001191986392409361)
smoothing 0.00001 evaluation 3280: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3300: force 1.8868, moment 0.6743, torque Some(-0.0011926001492792437)
smoothing 0.00001 evaluation 3320: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3340: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3360: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3380: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3400: force 1.8867, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3420: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3440: force 1.8869, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3460: force 1.8868, moment 0.6743, torque Some(-0.0011927702660070594)
smoothing 0.00001 evaluation 3480: force 1.7743, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3500: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3520: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3540: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3560: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3580: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3600: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3620: force 1.7740, moment 0.6247, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3640: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3660: force 1.7740, moment 0.6244, torque Some(1.62615858094739e-5)
smoothing 0.00001 evaluation 3680: force 1.7740, moment 0.6246, torque Some(1.62615858094739e-5)
