evaluation 24000: force 0.20769933717941857, moment 0.07168067556317924, torque Some(0.26496573238811905)
evaluation 24200: force 0.20701544931673915, moment 0.07172607779274513, torque Some(0.2650413399807677)
evaluation 24400: force 0.20701544931673915, moment 0.07172607779274513, torque Some(0.2650413399807677)
evaluation 24600: force 0.20701544931673915, moment 0.07172607779274513, torque Some(0.2650413399807677)
evaluation 24800: force 0.20701544931673915, moment 0.07172607779274513, torque Some(0.2650413399807677)
evaluation 25000: force 0.20701544931673915, moment 0.07172625053884146, torque Some(0.2650413399807677)
evaluation 25200: force 0.20701544931673915, moment 0.07172607779274513, torque Some(0.2650413399807677)
evaluation 25400: force 0.20721080437061612, moment 0.07172490586841851, torque Some(0.2651155611578722)
evaluation 25600: force 0.20721080437061612, moment 0.07172490586841851, torque Some(0.2651155611578722)
evaluation 25800: force 0.20721080437061612, moment 0.07172490586841851, torque Some(0.2651155611578722)
evaluation 26000: force 0.20721080437061612, moment 0.07172490586841851, torque Some(0.2651155611578722)
evaluation 26200: force 0.20721080437061612, moment 0.07172491201385055, torque Some(0.2651155611578722)
evaluation 26400: force 0.20721080437061612, moment 0.07172490586841851, torque Some(0.2651155611578722)
evaluation 26600: force 0.20667942679059834, moment 0.07180843818588971, torque Some(0.26532832621077324)
evaluation 26800: force 0.20667942679059834, moment 0.07180843818588971, torque Some(0.26532832621077324)
evaluation 27000: force 0.20667942679059834, moment 0.07180843818588971, torque Some(0.26532832621077324)
evaluation 27200: force 0.20667942679059834, moment 0.07180843818588971, torque Some(0.26532832621077324)
evaluation 27400: force 0.20661300855032588, moment 0.07180890161767366, torque Some(0.26532832621077324)
evaluation 27600: force 0.2058251757969725, moment 0.07215725771460922, torque Some(0.26589214776691983)
evaluation 27800: force 0.2058251757969725, moment 0.07215725771460922, torque Some(0.2658921436799004)
evaluation 28000: force 0.2058251757969725, moment 0.07215725771460922, torque Some(0.26589214776691983)
evaluation 28200: force 0.2058251757969725, moment 0.07215725771460922, torque Some(0.26589214776691983)
evaluation 28400: force 0.2058251757969725, moment 0.07215725771460922, torque Some(0.26589214776691983)
evaluation 28600: force 0.20581653286101978, moment 0.07215725771460922, torque Some(0.26589214776691983)
evaluation 28800: force 0.20614582889404617, moment 0.07344377003885441, torque Some(0.2669890920710345)
evaluation 29000: force 0.20614582889404617, moment 0.07344377003885441, torque Some(0.2669890920710345)
evaluation 29200: force 0.20614582889404617, moment 0.07344377003885441, torque Some(0.2669890920710345)
evaluation 29400: force 0.20614582889404617, moment 0.07344377003885441, torque Some(0.2669890920710345)
evaluation 29600: force 0.20614582889404617, moment 0.07349160402310857, torque Some(0.2669890920710345)
evaluation 29800: force 0.20614582889404617, moment 0.07344377003885441, torque Some(0.2669890920710345)
evaluation 30000: force 0.2030878535421304, moment 0.0732110444692598, torque Some(0.2670295314292247)
evaluation 30200: force 0.2030878535421304, moment 0.0732110444692598, torque Some(0.2670295314292247)
evaluation 30400: force 0.2030878535421304, moment 0.0732110444692598, torque Some(0.2670295314292247)
evaluation 30600: force 0.2030878535421304, moment 0.0732110444692598, torque Some(0.2670295314292247)
evaluation 30800: force 0.2030878535421304, moment 0.07321067914129886, torque Some(0.2670295314292247)
evaluation 31000: force 0.2030878535421304, moment 0.0732110444692598, torque Some(0.2670295314292247)
evaluation 31200: force 0.20419735812710874, moment 0.07287693456496447, torque Some(0.26706117662566964)
evaluation 31400: force 0.20419735812710874, moment 0.07287693456496447, torque Some(0.26706117662566964)
evaluation 31600: force 0.20419735812710874, moment 0.07287693456496447, torque Some(0.26706117662566964)
evaluation 31800: force 0.20419735812710874, moment 0.07287693456496447, torque Some(0.26706117662566964)
evaluation 32000: force 0.20419735812710874, moment 0.0729289295977676, torque Some(0.26706117662566964)
evaluation 32200: force 0.20526567885161565, moment 0.07279995130383664, torque Some(0.2670900894366824)
evaluation 32400: force 0.20526567885161565, moment 0.07279995130383664, torque Some(0.26709007888187236)
evaluation 32600: force 0.20526567885161565, moment 0.07279995130383664, torque Some(0.2670900894366824)
evaluation 32800: force 0.20526567885161565, moment 0.07279995130383664, torque Some(0.2670900894366824)
evaluation 33000: force 0.20526567885161565, moment 0.07279995130383664, torque Some(0.2670900894366824)
evaluation 33200: force 0.20531625473292617, moment 0.07279995130383664, torque Some(0.2670900894366824)
evaluation 33400: force 0.20510004961125267, moment 0.07282608688889032, torque Some(0.2671177481110757)
evaluation 33600: force 0.20510004961125267, moment 0.07282608688889032, torque Some(0.2671177481110757)
evaluation 33800: force 0.20510004961125267, moment 0.07282608688889032, torque Some(0.2671177481110757)
evaluation 34000: force 0.20510004961125267, moment 0.07282608688889032, torque Some(0.2671177481110757)
evaluation 34200: force 0.20510004961125267, moment 0.07282877045462434, torque Some(0.2671177481110757)
evaluation 34400: force 0.20510004961125267, moment 0.07282608688889032, torque Some(0.2671177481110757)
evaluation 34600: force 0.20552235897497043, moment 0.07281759457401321, torque Some(0.26719613851141744)
evaluation 34800: force 0.20552235897497043, moment 0.07281759457401321, torque Some(0.26719613851141744)
evaluation 35000: force 0.20552235897497043, moment 0.07281759457401321, torque Some(0.26719613851141744)
evaluation 35200: force 0.20552235897497043, moment 0.07281759457401321, torque Some(0.26719613851141744)
evaluation 35400: force 0.20552235897497043, moment 0.0728174812953914, torque Some(0.26719613851141744)
evaluation 35600: force 0.20552235897497043, moment 0.07281759457401321, torque Some(0.26719613851141744)
