smoothing 0.003 evaluation 2200: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2220: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2240: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2260: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2280: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2300: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2320: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2340: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2360: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2380: force 6.2773, moment 0.6076, torque Some(0.48272264153188993)
smoothing 0.003 evaluation 2400: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2420: force 6.2773, moment 0.6076, torque Some(0.4827205849226761)
smoothing 0.003 evaluation 2440: force 6.2773, moment 0.6076, torque Some(0.4827236990876753)
smoothing 0.003 evaluation 2460: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2480: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2500: force 6.2773, moment 0.6077, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2520: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2540: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2560: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2580: force 6.2773, moment 0.6076, torque Some(0.48272231431017665)
smoothing 0.003 evaluation 2600: force 7.1093, moment 1.7803, torque Some(-2.149310086255732)
smoothing 0.003 evaluation 2620: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2640: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2660: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2680: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2700: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
