evaluation 27000: force 0.19909895892476598, moment 0.05953865106306955, torque Some(-1.205641598600593e-5)
evaluation 27200: force 0.19909895892476598, moment 0.05953865106306955, torque Some(-1.205641598600593e-5)
evaluation 27400: force 0.19909895892476598, moment 0.05953865106306955, torque Some(-1.205641598600593e-5)
evaluation 27600: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 27800: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 28000: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 28200: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 28400: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 28600: force 0.199601422489771, moment 0.059511134752161965, torque Some(-1.2135666499268893e-5)
evaluation 28800: force 0.2009142936545004, moment 0.059450388412470634, torque Some(-1.2171888116085938e-5)
evaluation 29000: force 0.2009142936545004, moment 0.059445072117599196, torque Some(-1.2171888116085938e-5)
evaluation 29200: force 0.2009142936545004, moment 0.059450388412470634, torque Some(-1.2171888116085938e-5)
evaluation 29400: force 0.2009142936545004, moment 0.059450388412470634, torque Some(-1.2171888116085938e-5)
evaluation 29600: force 0.20103886880747765, moment 0.059450388412470634, torque Some(-1.2171888116085938e-5)
evaluation 29800: force 0.2009142936545004, moment 0.059450388412470634, torque Some(-1.2171888116085938e-5)
evaluation 30000: force 0.20205942260708887, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 30200: force 0.20205942260708887, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 30400: force 0.20205942260708887, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 30600: force 0.20205942260708887, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 30800: force 0.2020593553844534, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 31000: force 0.20205942260708887, moment 0.06337375808653414, torque Some(-0.0006540120822915441)
evaluation 31200: force 0.20341665267026074, moment 0.06455466687879997, torque Some(-0.0006906119917886588)
evaluation 31400: force 0.20341665267026074, moment 0.06455466687879997, torque Some(-0.0006906119917886588)
evaluation 31600: force 0.20341665267026074, moment 0.06455466687879997, torque Some(-0.0006906119917886588)
evaluation 31800: force 0.20341665267026074, moment 0.06455466687879997, torque Some(-0.0006896740135761137)
evaluation 32000: force 0.20341665267026074, moment 0.06455466687879997, torque Some(-0.0006906119917886588)
evaluation 32200: force 0.20398835191925688, moment 0.062135523527925104, torque Some(-0.00012096155579077728)
evaluation 32400: force 0.20398835191925688, moment 0.062135523527925104, torque Some(-0.00012096155579077728)
evaluation 32600: force 0.20398835191925688, moment 0.062135523527925104, torque Some(-0.00012096155579077728)
evaluation 32800: force 0.20398835191925688, moment 0.062135523527925104, torque Some(-0.00012096155579077728)
evaluation 33000: force 0.20398835191925688, moment 0.062121815966025326, torque Some(-0.00012096155579077728)
evaluation 33200: force 0.20398835191925688, moment 0.062135523527925104, torque Some(-0.00012096155579077728)
evaluation 33400: force 0.20381230265413913, moment 0.059158405936583724, torque Some(-7.895923248713022e-5)
evaluation 33600: force 0.20381230265413913, moment 0.05916238490046988, torque Some(-7.895923248713022e-5)
evaluation 33800: force 0.20381230265413913, moment 0.059158405936583724, torque Some(-7.895923248713022e-5)
evaluation 34000: force 0.20381230265413913, moment 0.059158405936583724, torque Some(-7.895923248713022e-5)
evaluation 34200: force 0.2037789694363258, moment 0.059158405936583724, torque Some(-7.895923248713022e-5)
evaluation 34400: force 0.20381230265413913, moment 0.059158405936583724, torque Some(-7.895923248713022e-5)
