evaluation 22400: force 0.1159848240052677, moment 0.06613564542905911, torque Some(0.3296951900550862)
evaluation 22600: force 0.1159848240052677, moment 0.06613564542905911, torque Some(0.3296951900550862)
evaluation 22800: force 0.1154428201617131, moment 0.06634036251850058, torque Some(0.3296951900550862)
evaluation 23000: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 23200: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 23400: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 23600: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 23800: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 24000: force 0.11639921982387405, moment 0.06575829757372917, torque Some(0.3300683852662132)
evaluation 24200: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515572497984)
evaluation 24400: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515394633084)
evaluation 24600: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515572497984)
evaluation 24800: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515572497984)
evaluation 25000: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515572497984)
evaluation 25200: force 0.1161450853074501, moment 0.06532515579453367, torque Some(0.33044515572497984)
evaluation 25400: force 0.11642572963599714, moment 0.06520807591269721, torque Some(0.33081147094164526)
evaluation 25600: force 0.11642572963599714, moment 0.06520807591269721, torque Some(0.3308114705925056)
evaluation 25800: force 0.11642572963599714, moment 0.06520807591269721, torque Some(0.33081147094164526)
evaluation 26000: force 0.11642572963599714, moment 0.06520807591269721, torque Some(0.33081147094164526)
evaluation 26200: force 0.11606036676326721, moment 0.06534516211534121, torque Some(0.33081147094164526)
evaluation 26400: force 0.11642572963599714, moment 0.06520807591269721, torque Some(0.33081147094164526)
evaluation 26600: force 0.116147775698017, moment 0.06486176688699302, torque Some(0.3309283413710393)
evaluation 26800: force 0.116147775698017, moment 0.06486176688699302, torque Some(0.3309283413710393)
evaluation 27000: force 0.116147775698017, moment 0.06486176688699302, torque Some(0.3309283413710393)
evaluation 27200: force 0.116147775698017, moment 0.06486176688699302, torque Some(0.3309283413710393)
evaluation 27400: force 0.11621568327168809, moment 0.06483601215391685, torque Some(0.3309283413710393)
evaluation 27600: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 27800: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 28000: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 28200: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 28400: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 28600: force 0.11640270093971394, moment 0.06498931283504823, torque Some(0.3310436436455983)
evaluation 28800: force 0.11614313708183807, moment 0.06444515201999554, torque Some(0.33138551154277746)
evaluation 29000: force 0.11614313708183807, moment 0.06444515201999554, torque Some(0.33138551154277746)
evaluation 29200: force 0.11614313708183807, moment 0.06444515201999554, torque Some(0.33138551154277746)
