smoothing 0.01 evaluation 2880: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2900: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2920: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2940: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2960: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 2980: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 3000: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 3020: force 2.4952, moment 0.9630, torque Some(-0.44556547013130476)
smoothing 0.01 evaluation 3040: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3060: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3080: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3100: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3120: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3140: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3160: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3180: force 1.9613, moment 0.7230, torque Some(-0.25714772588279006)
smoothing 0.01 evaluation 3200: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3220: force 1.9613, moment 0.7230, torque Some(-0.25706386792823416)
smoothing 0.01 evaluation 3240: force 1.9613, moment 0.7230, torque Some(-0.25717405353234074)
smoothing 0.01 evaluation 3260: force 1.9613, moment 0.7230, torque Some(-0.25712541145149287)
smoothing 0.01 evaluation 3280: force 1.9613, moment 0.7230, torque Some(-0.2569205948366389)
smoothing 0.01 evaluation 3300: force 1.9614, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3320: force 1.9614, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3340: force 1.9602, moment 0.7240, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3360: force 1.9622, moment 0.7233, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3380: force 1.9606, moment 0.7227, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3400: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3420: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
smoothing 0.01 evaluation 3440: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
