evaluation 24800: force 0.1754928201318479, moment 0.051137795101302015, torque Some(-5.834373394408843e-6)
evaluation 25000: force 0.1755044522944163, moment 0.051137795101302015, torque Some(-5.834373394408843e-6)
evaluation 25200: force 0.1754928201318479, moment 0.051137795101302015, torque Some(-5.834373394408843e-6)
evaluation 25400: force 0.1754927179359628, moment 0.051137820668130086, torque Some(-6.468602551157332e-6)
evaluation 25600: force 0.1754927179359628, moment 0.05113445790476787, torque Some(-5.836230920985841e-6)
evaluation 25800: force 0.1754927179359628, moment 0.051137820668130086, torque Some(-5.836230920985841e-6)
evaluation 26000: force 0.1754927179359628, moment 0.051137820668130086, torque Some(-5.836230920985841e-6)
evaluation 26200: force 0.17549005845333457, moment 0.051137820668130086, torque Some(-5.836230920985841e-6)
evaluation 26400: force 0.1754927179359628, moment 0.051137820668130086, torque Some(-5.836230920985841e-6)
evaluation 26600: force 0.17549238101623812, moment 0.051137678304789505, torque Some(-5.398282142410338e-6)
evaluation 26800: force 0.17549238101623812, moment 0.051137678304789505, torque Some(-5.864466355642861e-6)
evaluation 27000: force 0.17549238101623812, moment 0.051137678304789505, torque Some(-5.864466355642861e-6)
evaluation 27200: force 0.17549238101623812, moment 0.051137678304789505, torque Some(-5.864466355642861e-6)
evaluation 27400: force 0.17549238101623812, moment 0.051137678304789505, torque Some(-5.864466355642861e-6)
evaluation 27600: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 27800: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 28000: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 28200: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 28400: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 28600: force 0.17549228133384423, moment 0.05113779613113254, torque Some(-5.862414080404221e-6)
evaluation 28800: force 0.17549225221176848, moment 0.05113782678313991, torque Some(-5.861303004284224e-6)
evaluation 29000: force 0.17549225221176848, moment 0.05113923109119011, torque Some(-5.861303004284224e-6)
evaluation 29200: force 0.17549225221176848, moment 0.05113782678313991, torque Some(-5.861303004284224e-6)
evaluation 29400: force 0.17549225221176848, moment 0.05113782678313991, torque Some(-5.861303004284224e-6)
evaluation 29600: force 0.17551207079015899, moment 0.05113782678313991, torque Some(-5.861303004284224e-6)
evaluation 29800: force 0.17549225221176848, moment 0.05113782678313991, torque Some(-5.861303004284224e-6)
evaluation 30000: force 0.17549216456362035, moment 0.051137885178667866, torque Some(-5.865694201689919e-6)
evaluation 30200: force 0.17549216456362035, moment 0.05113956944361227, torque Some(-5.858779621004118e-6)
evaluation 30400: force 0.17549216456362035, moment 0.051137885178667866, torque Some(-5.858779621004118e-6)
evaluation 30600: force 0.17549216456362035, moment 0.051137885178667866, torque Some(-5.858779621004118e-6)
evaluation 30800: force 0.1754917786937412, moment 0.051137885178667866, torque Some(-5.858779621004118e-6)
evaluation 31000: force 0.17549216456362035, moment 0.051137885178667866, torque Some(-5.858779621004118e-6)
evaluation 31200: force 0.1754921356566387, moment 0.05113790147538237, torque Some(-6.324494222775812e-6)
