evaluation 17800: force 0.1584557505466732, moment 0.04743185161932639, torque Some(-0.0010007194337156022)
evaluation 18000: force 0.1584557505466732, moment 0.04743185161932639, torque Some(-0.0010007194337156022)
evaluation 18200: force 0.1584557505466732, moment 0.04743185161932639, torque Some(-0.0010007194337156022)
evaluation 18400: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 18600: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 18800: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 19000: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 19200: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 19400: force 0.15780430165330644, moment 0.04745619248017152, torque Some(-0.0009990985374699335)
evaluation 19600: force 0.15640013672538255, moment 0.04763084780267124, torque Some(-0.0009942715285551351)
evaluation 19800: force 0.15640013672538255, moment 0.04762883035018395, torque Some(-0.0009942693626796562)
evaluation 20000: force 0.15640013672538255, moment 0.04763084780267124, torque Some(-0.0009942693626796562)
evaluation 20200: force 0.15640013672538255, moment 0.04763084780267124, torque Some(-0.0009942693626796562)
evaluation 20400: force 0.15640769634569082, moment 0.04763084780267124, torque Some(-0.0009942693626796562)
evaluation 20600: force 0.15640013672538255, moment 0.04763084780267124, torque Some(-0.0009942693626796562)
evaluation 20800: force 0.15381124844335348, moment 0.0476167471477047, torque Some(-0.0008143421543460594)
evaluation 21000: force 0.15381124844335348, moment 0.047616755129414656, torque Some(-0.0008149746028978111)
evaluation 21200: force 0.15381124844335348, moment 0.0476167471477047, torque Some(-0.0008149746028978111)
evaluation 21400: force 0.15381124844335348, moment 0.0476167471477047, torque Some(-0.0008149746028978111)
evaluation 21600: force 0.1538140955923167, moment 0.0476167471477047, torque Some(-0.0008149746028978111)
evaluation 21800: force 0.15381124844335348, moment 0.0476167471477047, torque Some(-0.0008149746028978111)
evaluation 22000: force 0.15288626690340035, moment 0.04766289365168852, torque Some(-0.0008065017614760084)
