smoothing 0.001 evaluation 1920: force 0.0145, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1940: force 0.0106, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 1960: force 0.0214, moment 0.0020, torque Some(-0.002311454931371859)
smoothing 0.001 evaluation 1980: force 0.0093, moment 0.0055, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2000: force 0.0098, moment 0.0039, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2020: force 0.0199, moment 0.0050, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2040: force 0.0067, moment 0.0022, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2060: force 0.0067, moment 0.0021, torque Some(-0.0027022728021542375)
smoothing 0.001 evaluation 2080: force 0.0106, moment 0.0020, torque Some(-0.0021159892559889926)
smoothing 0.001 evaluation 2100: force 0.0098, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2120: force 0.0077, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2140: force 0.0147, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2160: force 0.0067, moment 0.0020, torque Some(-0.0019310347253478355)
smoothing 0.001 evaluation 2180: force 0.0087, moment 0.0055, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2200: force 0.0074, moment 0.0017, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2220: force 0.0086, moment 0.0046, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2240: force 0.0123, moment 0.0037, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2260: force 0.0066, moment 0.0017, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2280: force 0.0116, moment 0.0027, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2300: force 0.0111, moment 0.0030, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2320: force 0.0075, moment 0.0017, torque Some(-0.001533196769835321)
smoothing 0.001 evaluation 2340: force 0.0092, moment 0.0017, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2360: force 0.0087, moment 0.0069, torque Some(-0.0015258712751629044)
smoothing 0.001 evaluation 2380: force 0.0081, moment 0.0033, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2400: force 0.0066, moment 0.0033, torque Some(-0.0015336364951041848)
smoothing 0.001 evaluation 2420: force 0.0087, moment 0.0040, torque Some(-0.0015171069213193444)
smoothing 0.001 evaluation 2440: force 0.0102, moment 0.0038, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2460: force 0.0064, moment 0.0018, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2480: force 0.0066, moment 0.0022, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2500: force 0.0109, moment 0.0019, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2520: force 0.0066, moment 0.0017, torque Some(-0.0026140303139512433)
smoothing 0.001 evaluation 2540: force 0.0131, moment 0.0101, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2560: force 0.0066, moment 0.0027, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2580: force 0.0066, moment 0.0017, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2600: force 0.0066, moment 0.0017, torque Some(-0.0015333072591594554)
smoothing 0.001 evaluation 2620: force 0.0099, moment 0.0053, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2640: force 0.0069, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2660: force 0.0068, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2680: force 0.0213, moment 0.0036, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2700: force 0.0134, moment 0.0034, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2720: force 0.0177, moment 0.0095, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2740: force 0.0083, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2760: force 0.0068, moment 0.0031, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2780: force 0.0079, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2800: force 0.0108, moment 0.0031, torque Some(-0.009931792181677057)
smoothing 0.001 evaluation 2820: force 0.0068, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2840: force 0.0070, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2860: force 0.0124, moment 0.0018, torque Some(-0.00994377471071628)
smoothing 0.001 evaluation 2880: force 0.0070, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2900: force 0.0071, moment 0.0091, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2920: force 0.0112, moment 0.0024, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2940: force 0.0070, moment 0.0050, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2960: force 0.0067, moment 0.0027, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 2980: force 0.0118, moment 0.0057, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 3000: force 0.0129, moment 0.0024, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 3020: force 0.0068, moment 0.0018, torque Some(-0.009943088788172183)
smoothing 0.001 evaluation 3040: force 0.0140, moment 0.0027, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3060: force 0.0095, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3080: force 0.0218, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3100: force 0.0089, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3120: force 0.0142, moment 0.0090, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3140: force 0.0111, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3160: force 0.0125, moment 0.0048, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3180: force 0.0191, moment 0.0093, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3200: force 0.0164, moment 0.0024, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3220: force 0.0145, moment 0.0024, torque Some(-0.0020813490829256764)
smoothing 0.001 evaluation 3240: force 0.0104, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3260: force 0.0237, moment 0.0022, torque Some(-0.002386795687546961)
smoothing 0.001 evaluation 3280: force 0.0096, moment 0.0063, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3300: force 0.0106, moment 0.0041, torque Some(-0.0020032580574755876)
smoothing 0.001 evaluation 3320: force 0.0221, moment 0.0045, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3340: force 0.0089, moment 0.0024, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3360: force 0.0089, moment 0.0023, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3380: force 0.0094, moment 0.0022, torque Some(-0.002142714115914046)
smoothing 0.001 evaluation 3400: force 0.0101, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3420: force 0.0089, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3440: force 0.0147, moment 0.0022, torque Some(-0.0020817054843074168)
smoothing 0.001 evaluation 3460: force 0.0089, moment 0.0022, torque Some(-0.0020817054843074168)
stage 0.001: IterationLimit, planning tolerances false
smoothing 0.0003 evaluation 20: force 247.1950, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 40: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 60: force 247.1418, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 80: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 100: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 120: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
