evaluation 19800: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.2319691189590848)
evaluation 20000: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.23196920297625057)
evaluation 20200: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.23196920297625057)
evaluation 20400: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.23196920297625057)
evaluation 20600: force 0.213632098352683, moment 0.12214222101656436, torque Some(0.23196920297625057)
evaluation 20800: force 0.21185667112046339, moment 0.12094831663781774, torque Some(0.23105101780283765)
evaluation 21000: force 0.21185667112046339, moment 0.12094831663781774, torque Some(0.23105101780283765)
evaluation 21200: force 0.21185667112046339, moment 0.12094831663781774, torque Some(0.23105101780283765)
evaluation 21400: force 0.21185667112046339, moment 0.12094831663781774, torque Some(0.23105101780283765)
evaluation 21600: force 0.2122998054077422, moment 0.12070479984909145, torque Some(0.23105101780283765)
evaluation 21800: force 0.21185667112046339, moment 0.12094831663781774, torque Some(0.23105101780283765)
evaluation 22000: force 0.21127464212260172, moment 0.12072995390699184, torque Some(0.23079367406921053)
evaluation 22200: force 0.21127464212260172, moment 0.12072995390699184, torque Some(0.23079367406921053)
evaluation 22400: force 0.21127464212260172, moment 0.12072995390699184, torque Some(0.23079367406921053)
evaluation 22600: force 0.21127464212260172, moment 0.12072995390699184, torque Some(0.23079367406921053)
evaluation 22800: force 0.2112746695323267, moment 0.12072974584052651, torque Some(0.23079367406921053)
evaluation 23000: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 23200: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 23400: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 23600: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 23800: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 24000: force 0.2112238815132761, moment 0.12057072127157017, torque Some(0.23071469967566222)
evaluation 24200: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982303976765)
evaluation 24400: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982221664848)
evaluation 24600: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982303976765)
evaluation 24800: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982303976765)
evaluation 25000: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982303976765)
evaluation 25200: force 0.21054779840128582, moment 0.12027262840044739, torque Some(0.2304982303976765)
evaluation 25400: force 0.2087372560586329, moment 0.1194070096369565, torque Some(0.2298654463070401)
