smoothing 0.003 evaluation 1900: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1920: force 3.6506, moment 0.9130, torque Some(-0.001098232511144855)
smoothing 0.003 evaluation 1940: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 1960: force 3.6506, moment 0.9130, torque Some(-0.001098166727245914)
smoothing 0.003 evaluation 1980: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 2000: force 3.6506, moment 0.9130, torque Some(-0.0010981769657159857)
smoothing 0.003 evaluation 2020: force 3.6506, moment 0.9130, torque Some(-0.0010981809354146492)
smoothing 0.003 evaluation 2040: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2060: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2080: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2100: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2120: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2140: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2160: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2180: force 3.1826, moment 0.8242, torque Some(-0.0009871352063900996)
smoothing 0.003 evaluation 2200: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2220: force 3.1826, moment 0.8242, torque Some(-0.000987168727527684)
smoothing 0.003 evaluation 2240: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2260: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2280: force 3.1826, moment 0.8242, torque Some(-0.0009871594894959243)
smoothing 0.003 evaluation 2300: force 3.1826, moment 0.8242, torque Some(-0.0009871357511349842)
smoothing 0.003 evaluation 2320: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2340: force 2.6593, moment 0.6977, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2360: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2380: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2400: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2420: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2440: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2460: force 2.6593, moment 0.6976, torque Some(-0.00011256637127098979)
smoothing 0.003 evaluation 2480: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2500: force 2.6593, moment 0.6976, torque Some(-0.00011251528917890575)
smoothing 0.003 evaluation 2520: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2540: force 2.6593, moment 0.6976, torque Some(-0.00011258683943223208)
smoothing 0.003 evaluation 2560: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2580: force 2.6593, moment 0.6976, torque Some(-0.00011183572149087682)
smoothing 0.003 evaluation 2600: force 2.6593, moment 0.6976, torque Some(-0.00011258910785204865)
smoothing 0.003 evaluation 2620: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2640: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2660: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2680: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2700: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2720: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2740: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2760: force 2.1149, moment 0.5219, torque Some(7.986150917939534e-5)
smoothing 0.003 evaluation 2780: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2800: force 2.1149, moment 0.5219, torque Some(7.970718009203334e-5)
smoothing 0.003 evaluation 2820: force 2.1149, moment 0.5219, torque Some(7.986122735503462e-5)
smoothing 0.003 evaluation 2840: force 2.1149, moment 0.5219, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2860: force 2.1149, moment 0.5219, torque Some(7.987558100567248e-5)
