evaluation 25800: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26000: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26200: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26400: force 0.08106876842692134, moment 0.015399104354675508, torque Some(-6.122605563363415e-5)
evaluation 26600: force 0.08102972117365059, moment 0.015398309943171151, torque Some(2.9010468232115727e-6)
evaluation 26800: force 0.08102972117365059, moment 0.015388608361966982, torque Some(-2.0216667333539107e-6)
evaluation 27000: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27200: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27400: force 0.08102972117365059, moment 0.015398309943171151, torque Some(-2.0216667333539107e-6)
evaluation 27600: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 27800: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28000: force 0.08090864559308031, moment 0.01539648329534593, torque Some(-0.0005024076650312903)
evaluation 28200: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28400: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28600: force 0.08090694199726811, moment 0.01539643158437154, torque Some(-0.0005024076650312903)
evaluation 28800: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29000: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29200: force 0.08090860065799199, moment 0.015395366654295639, torque Some(-2.3975801102249505e-6)
evaluation 29400: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29600: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 29800: force 0.08088547058199702, moment 0.015394759955242865, torque Some(-2.3975801102249505e-6)
evaluation 30000: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.627773953580494e-5)
evaluation 30200: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.5757819484570916e-5)
evaluation 30400: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.5757819484570916e-5)
evaluation 30600: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.5757819484570916e-5)
evaluation 30800: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.5757819484570916e-5)
evaluation 31000: force 0.08088166581655076, moment 0.01539420954491555, torque Some(-4.5757819484570916e-5)
evaluation 31200: force 0.08088044836246411, moment 0.015394119607275325, torque Some(-5.823645286519297e-5)
evaluation 31400: force 0.08088044836246411, moment 0.015361803837250498, torque Some(-5.823645286519297e-5)
evaluation 31600: force 0.08088044836246411, moment 0.015394119607275325, torque Some(-5.823645286519297e-5)
evaluation 31800: force 0.08088044836246411, moment 0.015394119607275325, torque Some(-5.823645286519297e-5)
evaluation 32000: force 0.08088044836246411, moment 0.015394119607275325, torque Some(-5.823645286519297e-5)
evaluation 32200: force 0.08087757844180454, moment 0.015394731852373722, torque Some(-1.617950828114445e-5)
evaluation 32400: force 0.08087757844180454, moment 0.015394731852373722, torque Some(-1.617950828114445e-5)
evaluation 32600: force 0.08088125714141436, moment 0.015394883523701441, torque Some(-1.617950828114445e-5)
evaluation 32800: force 0.08087757844180454, moment 0.015394731852373722, torque Some(-1.617950828114445e-5)
evaluation 33000: force 0.08087757844180454, moment 0.015394731852373722, torque Some(-1.617950828114445e-5)
evaluation 33200: force 0.08087757844180454, moment 0.015394731852373722, torque Some(-1.617950828114445e-5)
evaluation 33400: force 0.0808686465679902, moment 0.01539468713488712, torque Some(-2.0557314077684907e-6)
evaluation 33600: force 0.0808686465679902, moment 0.01539468713488712, torque Some(-2.0557314077684907e-6)
evaluation 33800: force 0.08092725169083681, moment 0.015395474449334312, torque Some(-2.0557314077684907e-6)
evaluation 34000: force 0.0808686465679902, moment 0.01539468713488712, torque Some(-2.0557314077684907e-6)
evaluation 34200: force 0.0808686465679902, moment 0.01539468713488712, torque Some(-2.0557314077684907e-6)
evaluation 34400: force 0.0808686465679902, moment 0.01539468713488712, torque Some(-2.0557314077684907e-6)
