smoothing 0.00001 evaluation 2240: force 0.1010, moment 0.0417, torque Some(0.11670467903521442)
smoothing 0.00001 evaluation 2260: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2280: force 0.0056, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2300: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2320: force 0.0326, moment 0.0315, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2340: force 0.0503, moment 0.0136, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2360: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2380: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2400: force 0.0301, moment 0.0122, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2420: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2440: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2460: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2480: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2500: force 0.0299, moment 0.0440, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2520: force 0.0465, moment 0.0184, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2540: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2560: force 0.0054, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2580: force 0.0590, moment 0.0215, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2600: force 0.0049, moment 0.0023, torque Some(0.10755128783348233)
smoothing 0.00001 evaluation 2620: force 0.0503, moment 0.0197, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2640: force 0.0047, moment 0.0026, torque Some(0.10766046769451143)
smoothing 0.00001 evaluation 2660: force 0.0519, moment 0.0233, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2680: force 0.0822, moment 0.0063, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2700: force 0.0114, moment 0.0045, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2720: force 0.0054, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2740: force 0.0916, moment 0.0259, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2760: force 0.0059, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2780: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2800: force 0.0489, moment 0.0156, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2820: force 0.0063, moment 0.0024, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2840: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2860: force 0.0729, moment 0.0068, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2880: force 0.0103, moment 0.0032, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2900: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2920: force 0.0904, moment 0.0260, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2940: force 0.0057, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2960: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 2980: force 0.0483, moment 0.0130, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 3000: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 3020: force 0.0047, moment 0.0026, torque Some(0.10766058269624024)
smoothing 0.00001 evaluation 3040: force 0.0027, moment 0.0007, torque Some(0.10767413529053838)
smoothing 0.00001 evaluation 3060: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3080: force 0.0030, moment 0.0009, torque Some(0.10743458233770697)
smoothing 0.00001 evaluation 3100: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3120: force 0.0015, moment 0.0017, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3140: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3160: force 0.0306, moment 0.0102, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3180: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3200: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3220: force 0.0055, moment 0.0017, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3240: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3260: force 0.0327, moment 0.0390, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3280: force 0.0499, moment 0.0176, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3300: force 0.0015, moment 0.0012, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3320: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3340: force 0.0311, moment 0.0086, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3360: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3380: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3400: force 0.0059, moment 0.0016, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3420: force 0.0015, moment 0.0007, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3440: force 0.0381, moment 0.0364, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3460: force 0.0241, moment 0.0076, torque Some(0.10767482757168412)
smoothing 0.00001 evaluation 3480: force 0.0013, moment 0.0013, torque Some(0.10759246275780732)
smoothing 0.00001 evaluation 3500: force 0.0013, moment 0.0005, torque Some(0.10759294331541702)
smoothing 0.00001 evaluation 3520: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3540: force 0.1008, moment 0.0416, torque Some(0.11673667469935367)
smoothing 0.00001 evaluation 3560: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3580: force 0.0055, moment 0.0015, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3600: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3620: force 0.0327, moment 0.0314, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3640: force 0.0501, moment 0.0136, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3660: force 0.0013, moment 0.0012, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3680: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3700: force 0.0305, moment 0.0121, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3720: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3740: force 0.0011, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3760: force 0.0039, moment 0.0012, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3780: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3800: force 0.0285, moment 0.0435, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3820: force 0.0466, moment 0.0188, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3840: force 0.0013, moment 0.0010, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3860: force 0.0053, moment 0.0015, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3880: force 0.0590, moment 0.0214, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3900: force 0.0013, moment 0.0005, torque Some(0.1075926741865818)
smoothing 0.00001 evaluation 3920: force 0.0503, moment 0.0197, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 3940: force 0.0039, moment 0.0007, torque Some(0.10756270775796972)
smoothing 0.00001 evaluation 3960: force 0.0520, moment 0.0233, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 3980: force 0.0821, moment 0.0063, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4000: force 0.0114, moment 0.0045, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4020: force 0.0046, moment 0.0018, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4040: force 0.0916, moment 0.0258, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4060: force 0.0058, moment 0.0018, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4080: force 0.0009, moment 0.0004, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4100: force 0.0490, moment 0.0156, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4120: force 0.0071, moment 0.0020, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4140: force 0.0010, moment 0.0004, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4160: force 0.0728, moment 0.0068, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4180: force 0.0104, moment 0.0032, torque Some(0.10756259276075841)
