evaluation 18400: force 0.1714855370350496, moment 0.08705698977667237, torque Some(0.2423618685801704)
evaluation 18600: force 0.1714855370350496, moment 0.08705698977667237, torque Some(0.24236189885304585)
evaluation 18800: force 0.1714855370350496, moment 0.08705698977667237, torque Some(0.2423618685801704)
evaluation 19000: force 0.1714855370350496, moment 0.08705698977667237, torque Some(0.2423618685801704)
evaluation 19200: force 0.1714855370350496, moment 0.08705698977667237, torque Some(0.2423618685801704)
evaluation 19400: force 0.17121068740121256, moment 0.08705712196360729, torque Some(0.2423618685801704)
evaluation 19600: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.24236940990534656)
evaluation 19800: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.2423693894861187)
evaluation 20000: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.24236940990534656)
evaluation 20200: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.24236940990534656)
evaluation 20400: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.24236940990534656)
evaluation 20600: force 0.17157032170426617, moment 0.08694745878933031, torque Some(0.24236940990534656)
evaluation 20800: force 0.17150540433450714, moment 0.08681510380911261, torque Some(0.24239171162618856)
evaluation 21000: force 0.17150540433450714, moment 0.08681510380911261, torque Some(0.24239171162618856)
evaluation 21200: force 0.17150540433450714, moment 0.08681510380911261, torque Some(0.24239171162618856)
evaluation 21400: force 0.17150540433450714, moment 0.08681510380911261, torque Some(0.24239171162618856)
evaluation 21600: force 0.17150540433450714, moment 0.0868130745492885, torque Some(0.24239171162618856)
evaluation 21800: force 0.17150540433450714, moment 0.08681510380911261, torque Some(0.24239171162618856)
evaluation 22000: force 0.17132183627003517, moment 0.0867483144548171, torque Some(0.24245513842398475)
evaluation 22200: force 0.17132183627003517, moment 0.0867483144548171, torque Some(0.24245513842398475)
evaluation 22400: force 0.17132183627003517, moment 0.0867483144548171, torque Some(0.24245513842398475)
evaluation 22600: force 0.17132183627003517, moment 0.0867483144548171, torque Some(0.24245513842398475)
evaluation 22800: force 0.1713205901518967, moment 0.08674852141703956, torque Some(0.24245513842398475)
evaluation 23000: force 0.17108438037114734, moment 0.08665559210578272, torque Some(0.24261982712968544)
evaluation 23200: force 0.17108438037114734, moment 0.08665559210578272, torque Some(0.24261983062692177)
evaluation 23400: force 0.17108438037114734, moment 0.08665559210578272, torque Some(0.24261982712968544)
evaluation 23600: force 0.17108438037114734, moment 0.08665559210578272, torque Some(0.24261982712968544)
evaluation 23800: force 0.17108438037114734, moment 0.08665559210578272, torque Some(0.24261982712968544)
evaluation 24000: force 0.17108438037114912, moment 0.08665559210578272, torque Some(0.24261982712968544)
evaluation 24200: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668886572887)
evaluation 24400: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668307481102)
evaluation 24600: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668886572887)
evaluation 24800: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668886572887)
evaluation 25000: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668886572887)
evaluation 25200: force 0.17078107143616117, moment 0.08644120146900383, torque Some(0.24308668886572887)
evaluation 25400: force 0.17033676744540666, moment 0.08606228256267168, torque Some(0.24448572176883024)
evaluation 25600: force 0.17033676744540666, moment 0.08606228256267168, torque Some(0.24448572176883024)
evaluation 25800: force 0.17033676744540666, moment 0.08606228256267168, torque Some(0.24448572176883024)
evaluation 26000: force 0.17033676744540666, moment 0.08606228256267168, torque Some(0.24448572176883024)
evaluation 26200: force 0.17033676744540666, moment 0.08603824384530337, torque Some(0.24448572176883024)
evaluation 26400: force 0.17033676744540666, moment 0.08606228256267168, torque Some(0.24448572176883024)
evaluation 26600: force 0.16756638182401465, moment 0.08509266149328079, torque Some(0.24780151642295123)
evaluation 26800: force 0.16756638182401465, moment 0.08509266149328079, torque Some(0.24780151642295123)
evaluation 27000: force 0.16756638182401465, moment 0.08509266149328079, torque Some(0.24780151642295123)
evaluation 27200: force 0.16756638182401465, moment 0.08509266149328079, torque Some(0.24780151642295123)
evaluation 27400: force 0.16752023465958535, moment 0.0851204609233103, torque Some(0.24780151642295123)
evaluation 27600: force 0.16435271951816346, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 27800: force 0.16435271951816346, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 28000: force 0.16435271951816346, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 28200: force 0.16435271951816346, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 28400: force 0.16435271951816346, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 28600: force 0.16422593488966097, moment 0.0839925560761162, torque Some(0.2511879091971816)
evaluation 28800: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176356937624)
evaluation 29000: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176535145966)
evaluation 29200: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176356937624)
evaluation 29400: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176356937624)
evaluation 29600: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176356937624)
evaluation 29800: force 0.16348681513018604, moment 0.08360202527873427, torque Some(0.25220176356937624)
evaluation 30000: force 0.16278500354422365, moment 0.08305412471072246, torque Some(0.2531971689776511)
evaluation 30200: force 0.16278500354422365, moment 0.08305412471072246, torque Some(0.25319675105237893)
evaluation 30400: force 0.16278500354422365, moment 0.08305412471072246, torque Some(0.2531971689776511)
evaluation 30600: force 0.16278500354422365, moment 0.08305412471072246, torque Some(0.2531971689776511)
evaluation 30800: force 0.16278500354422365, moment 0.08305383672829944, torque Some(0.2531971689776511)
evaluation 31000: force 0.16278500354422365, moment 0.08305412471072246, torque Some(0.2531971689776511)
evaluation 31200: force 0.1625544086193721, moment 0.08305998950848326, torque Some(0.2535500532230009)
evaluation 31400: force 0.1625544086193721, moment 0.08305998950848326, torque Some(0.2535500532230009)
evaluation 31600: force 0.1625544086193721, moment 0.08305998950848326, torque Some(0.2535500532230009)
evaluation 31800: force 0.1625544086193721, moment 0.08305998950848326, torque Some(0.2535500532230009)
evaluation 32000: force 0.16263452148123825, moment 0.08305422762364346, torque Some(0.2535500532230009)
evaluation 32200: force 0.16168800828757954, moment 0.08264666729155538, torque Some(0.2545713225450969)
evaluation 32400: force 0.16168800828757954, moment 0.08264666729155538, torque Some(0.2545713214396781)
evaluation 32600: force 0.16168800828757954, moment 0.08264666729155538, torque Some(0.2545713225450969)
evaluation 32800: force 0.16168800828757954, moment 0.08264666729155538, torque Some(0.2545713225450969)
evaluation 33000: force 0.16168800828757954, moment 0.08264666729155538, torque Some(0.2545713225450969)
evaluation 33200: force 0.16173715199441904, moment 0.08264666729155538, torque Some(0.2545713225450969)
evaluation 33400: force 0.1590102644789735, moment 0.0816484582254986, torque Some(0.25775987042058546)
evaluation 33600: force 0.1590102644789735, moment 0.0816484582254986, torque Some(0.25775987042058546)
evaluation 33800: force 0.1590102644789735, moment 0.0816484582254986, torque Some(0.25775987042058546)
