smoothing 0.003 evaluation 1980: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2000: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2020: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2040: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2060: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2080: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2100: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2120: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2140: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2160: force 10.5141, moment 2.7835, torque Some(-0.9995708809772481)
smoothing 0.003 evaluation 2180: force 7.8648, moment 2.8241, torque Some(-1.0153645093910235)
smoothing 0.003 evaluation 2200: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2220: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2240: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2260: force 7.8646, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2280: force 7.8666, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2300: force 7.8649, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2320: force 7.8645, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2340: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2360: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2380: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2400: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2420: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2440: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2460: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2480: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2500: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2520: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2540: force 7.8648, moment 2.8239, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2560: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2580: force 7.8648, moment 2.8241, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2600: force 7.8648, moment 2.8242, torque Some(-1.0153555840701607)
smoothing 0.003 evaluation 2620: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2640: force 6.2355, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2660: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2680: force 6.2356, moment 1.6559, torque Some(-0.9876722533475173)
smoothing 0.003 evaluation 2700: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2720: force 6.2356, moment 1.6559, torque Some(-0.9876494447861182)
smoothing 0.003 evaluation 2740: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2760: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2780: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2800: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2820: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2840: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2860: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2880: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2900: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2920: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2940: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2960: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 2980: force 6.2356, moment 1.6557, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 3000: force 6.2356, moment 1.6559, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 3020: force 6.2356, moment 1.6558, torque Some(-0.9876726115347452)
smoothing 0.003 evaluation 3040: force 7.4646, moment 1.1487, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3060: force 7.4647, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3080: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3100: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3120: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3140: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3160: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3180: force 7.4648, moment 1.1488, torque Some(-0.4280655442154777)
smoothing 0.003 evaluation 3200: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3220: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3240: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3260: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3280: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3300: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3320: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3340: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3360: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3380: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3400: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3420: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3440: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3460: force 7.4648, moment 1.1488, torque Some(-0.4280787800068162)
smoothing 0.003 evaluation 3480: force 5.6312, moment 0.7570, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3500: force 5.6312, moment 0.7571, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3520: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3540: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3560: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3580: force 5.6313, moment 0.7572, torque Some(-0.4000524789339093)
smoothing 0.003 evaluation 3600: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3620: force 5.6313, moment 0.7572, torque Some(-0.40011209770964284)
smoothing 0.003 evaluation 3640: force 5.6313, moment 0.7572, torque Some(-0.4000122418675931)
smoothing 0.003 evaluation 3660: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3680: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3700: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3720: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3740: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3760: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3780: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3800: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3820: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3840: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3860: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3880: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3900: force 5.6313, moment 0.7572, torque Some(-0.40004887202152806)
smoothing 0.003 evaluation 3920: force 5.1886, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 3940: force 5.1890, moment 0.9718, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 3960: force 5.1890, moment 0.9722, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 3980: force 5.1890, moment 0.9721, torque Some(-0.32009946577859316)
smoothing 0.003 evaluation 4000: force 5.1890, moment 0.9721, torque Some(-0.32007915940235)
smoothing 0.003 evaluation 4020: force 5.1890, moment 0.9721, torque Some(-0.3201046960459075)
smoothing 0.003 evaluation 4040: force 5.1890, moment 0.9721, torque Some(-0.3200676325566534)
smoothing 0.003 evaluation 4060: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4080: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4100: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4120: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4140: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4160: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4180: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
