evaluation 34800: force 0.10778632657587187, moment 0.04607421968401517, torque Some(0.2718273586042539)
evaluation 35000: force 0.10778632657587187, moment 0.04607421968401517, torque Some(0.2718273586042539)
evaluation 35200: force 0.10778632657587187, moment 0.04607421968401517, torque Some(0.2718273586042539)
evaluation 35400: force 0.10778613965877618, moment 0.04607381359346865, torque Some(0.2718273586042539)
evaluation 35600: force 0.10778632657587187, moment 0.04607421968401517, torque Some(0.2718273586042539)
evaluation 35800: force 0.10034156655689504, moment 0.044968702047852395, torque Some(0.2724305346901126)
evaluation 36000: force 0.10034156655689504, moment 0.044968702047852395, torque Some(0.2724305346901126)
evaluation 36200: force 0.10034156655689504, moment 0.044968702047852395, torque Some(0.2724305346901126)
evaluation 36400: force 0.10034156655689504, moment 0.044968702047852395, torque Some(0.2724305346901126)
evaluation 36600: force 0.10034156655689504, moment 0.044807702905144554, torque Some(0.2724305346901126)
evaluation 36800: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.27270850034361466)
evaluation 37000: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.2727085020154073)
evaluation 37200: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.27270850034361466)
evaluation 37400: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.27270850034361466)
evaluation 37600: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.27270850034361466)
evaluation 37800: force 0.0976191074630513, moment 0.041389815345333876, torque Some(0.27270850034361466)
evaluation 38000: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
evaluation 38200: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
evaluation 38400: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
evaluation 38600: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
evaluation 38800: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
