smoothing 0.00001 evaluation 2080: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2100: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2120: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2140: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2160: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2180: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2200: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2220: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2240: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2260: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2280: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2300: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2320: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2340: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2360: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2380: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2400: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2420: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2440: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2460: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2480: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2500: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2520: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2540: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2560: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2580: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2600: force 0.1175, moment 0.0505, torque Some(-0.0008009552829228994)
smoothing 0.00001 evaluation 2620: force 0.1124, moment 0.0492, torque Some(-0.0012901549155865943)
smoothing 0.00001 evaluation 2640: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2660: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2680: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2700: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2720: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2740: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2760: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2780: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2800: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2820: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2840: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2860: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2880: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2900: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2920: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2940: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2960: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 2980: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3000: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3020: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3040: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3060: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3080: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3100: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3120: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3140: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3160: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3180: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3200: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3220: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3240: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3260: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3280: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3300: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3320: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3340: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3360: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3380: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3400: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3420: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3440: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3460: force 0.1175, moment 0.0505, torque Some(-0.0008001477443229099)
smoothing 0.00001 evaluation 3480: force 0.1175, moment 0.0504, torque Some(-0.0008119845415635041)
smoothing 0.00001 evaluation 3500: force 0.1172, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3520: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3540: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3560: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3580: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3600: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3620: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3640: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3660: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3680: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3700: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3720: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3740: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3760: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3780: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3800: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3820: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3840: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3860: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3880: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
smoothing 0.00001 evaluation 3900: force 0.1175, moment 0.0505, torque Some(-0.0008001792513003814)
