smoothing 0.00001 evaluation 2200: force 1.4697, moment 0.6590, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2220: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2240: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2260: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2280: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2300: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2320: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2340: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2360: force 1.4717, moment 0.6551, torque Some(-0.556139117721208)
smoothing 0.00001 evaluation 2380: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2400: force 1.4717, moment 0.6551, torque Some(-0.5560835421328563)
smoothing 0.00001 evaluation 2420: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2440: force 1.4717, moment 0.6551, torque Some(-0.5560829136085375)
smoothing 0.00001 evaluation 2460: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2480: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2500: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2520: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2540: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2560: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2580: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2600: force 1.4717, moment 0.6551, torque Some(-0.5561390325442608)
smoothing 0.00001 evaluation 2620: force 1.4680, moment 0.6579, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2640: force 1.4720, moment 0.6537, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2660: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2680: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2700: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2720: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2740: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2760: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2780: force 1.4696, moment 0.6546, torque Some(-0.5552241978926158)
smoothing 0.00001 evaluation 2800: force 1.4696, moment 0.6546, torque Some(-0.5552241536379461)
