evaluation 22000: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 22200: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 22400: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 22600: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 22800: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 23000: force 0.0703340072240448, moment 0.022392720752705618, torque Some(-0.00026105207777926687)
evaluation 23200: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.852666299630769e-5)
evaluation 23400: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 23600: force 0.0702445110262063, moment 0.022365038812653032, torque Some(-3.84727136173435e-5)
evaluation 23800: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 24000: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 24200: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 24400: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 24600: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 24800: force 0.07026594431092667, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 25000: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 25200: force 0.0702445110262063, moment 0.02238537164145718, torque Some(-3.84727136173435e-5)
evaluation 25400: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 25600: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 25800: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 26000: force 0.06998956144470345, moment 0.022362900168336565, torque Some(-1.1620254591448997e-5)
evaluation 26200: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 26400: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 26600: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 26800: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 27000: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 27200: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 27400: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 27600: force 0.06998956144470345, moment 0.022362988974043325, torque Some(-1.1620254591448997e-5)
evaluation 27800: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 28000: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 28200: force 0.06930769116973139, moment 0.02230779301148654, torque Some(-0.0007931734373058941)
evaluation 28400: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 28600: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 28800: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 29000: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 29200: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 29400: force 0.06936031967402016, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 29600: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 29800: force 0.06930769116973139, moment 0.02228946897233665, torque Some(-0.0007931734373058941)
evaluation 30000: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 30200: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 30400: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 30600: force 0.06867648467500272, moment 0.02222263781755001, torque Some(-0.00015821566129203823)
evaluation 30800: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 31000: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 31200: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
