smoothing 0.00001 evaluation 1960: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 1980: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2000: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2020: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2040: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2060: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2080: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2100: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2120: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2140: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2160: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2180: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2200: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2220: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2240: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2260: force 3.0285, moment 1.1206, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2280: force 3.0279, moment 1.1203, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2300: force 3.0287, moment 1.1209, torque Some(0.0002476909292659091)
smoothing 0.00001 evaluation 2320: force 1.4815, moment 0.5353, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2340: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2360: force 1.4820, moment 0.5361, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2380: force 1.4820, moment 0.5356, torque Some(-0.0007253745496131891)
smoothing 0.00001 evaluation 2400: force 1.4820, moment 0.5356, torque Some(-0.0007260240645599048)
smoothing 0.00001 evaluation 2420: force 1.4820, moment 0.5356, torque Some(-0.0007262128748908303)
smoothing 0.00001 evaluation 2440: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2460: force 1.4820, moment 0.5356, torque Some(-0.0007259267677794945)
smoothing 0.00001 evaluation 2480: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2500: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2520: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2540: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2560: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2580: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2600: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2620: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2640: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2660: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2680: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2700: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2720: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2740: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2760: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2780: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2800: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2820: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2840: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2860: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2880: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2900: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2920: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2940: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 2960: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
