evaluation 31400: force 0.18220702833513397, moment 0.05615229325707458, torque Some(-3.927222271604691e-6)
evaluation 31600: force 0.18220702833513397, moment 0.05615229325707458, torque Some(-3.927222271604691e-6)
evaluation 31800: force 0.18220702833513397, moment 0.05615229325707458, torque Some(-3.927222271604691e-6)
evaluation 32000: force 0.18220702833513397, moment 0.05615229325707458, torque Some(-3.927222271604691e-6)
evaluation 32200: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 32400: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 32600: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 32800: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 33000: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 33200: force 0.18442742509000765, moment 0.05612074489381478, torque Some(-3.2362778328298702e-6)
evaluation 33400: force 0.18667950342769343, moment 0.05643136557717269, torque Some(-1.7822021138591548e-6)
evaluation 33600: force 0.18667950342769343, moment 0.05642738696283626, torque Some(-1.7822021138591548e-6)
evaluation 33800: force 0.18667950342769343, moment 0.05643136557717269, torque Some(-1.7822021138591548e-6)
evaluation 34000: force 0.18667950342769343, moment 0.05643136557717269, torque Some(-1.7822021138591548e-6)
evaluation 34200: force 0.18670824001282274, moment 0.05643136557717269, torque Some(-1.7822021138591548e-6)
evaluation 34400: force 0.18667950342769343, moment 0.05643136557717269, torque Some(-1.7822021138591548e-6)
