evaluation 18600: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
evaluation 18800: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
evaluation 19000: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
evaluation 19200: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
evaluation 19400: force 0.17244852707256672, moment 0.101986936136471, torque Some(0.22795688639193862)
evaluation 19600: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328294589988)
evaluation 19800: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328873725023)
evaluation 20000: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328294589988)
evaluation 20200: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328294589988)
evaluation 20400: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328294589988)
evaluation 20600: force 0.17093585746181544, moment 0.10071732296838597, torque Some(0.22966328294589988)
evaluation 20800: force 0.16626635334571344, moment 0.09663827888814233, torque Some(0.235908900560587)
evaluation 21000: force 0.16626635334571344, moment 0.09663827888814233, torque Some(0.23590890090858027)
evaluation 21200: force 0.16626635334571344, moment 0.09663827888814233, torque Some(0.235908900560587)
evaluation 21400: force 0.16626635334571344, moment 0.09663827888814233, torque Some(0.235908900560587)
evaluation 21600: force 0.16626635334571344, moment 0.09644517976144415, torque Some(0.235908900560587)
evaluation 21800: force 0.16626635334571344, moment 0.09663827888814233, torque Some(0.235908900560587)
evaluation 22000: force 0.19246080303182853, moment 0.09220967752917676, torque Some(0.24207652025993726)
evaluation 22200: force 0.19246080303182853, moment 0.09220967752917676, torque Some(0.24207652025993726)
evaluation 22400: force 0.19246080303182853, moment 0.09220967752917676, torque Some(0.24207652025993726)
evaluation 22600: force 0.19246080303182853, moment 0.09220967752917676, torque Some(0.24207652025993726)
evaluation 22800: force 0.19187229331674413, moment 0.0921818801007661, torque Some(0.24207652025993726)
