smoothing 0.003 evaluation 2040: force 4.4262, moment 0.8756, torque Some(-0.11687314413336214)
smoothing 0.003 evaluation 2060: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2080: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2100: force 4.4263, moment 0.8756, torque Some(-0.11687228390602677)
smoothing 0.003 evaluation 2120: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2140: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2160: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2180: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2200: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2220: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2240: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2260: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2280: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2300: force 4.4263, moment 0.8756, torque Some(-0.1168723538339782)
smoothing 0.003 evaluation 2320: force 3.3656, moment 0.8113, torque Some(-0.011068226622613864)
smoothing 0.003 evaluation 2340: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2360: force 3.3656, moment 0.8113, torque Some(-0.011068519578432356)
smoothing 0.003 evaluation 2380: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2400: force 3.3656, moment 0.8113, torque Some(-0.011068598020141929)
smoothing 0.003 evaluation 2420: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2440: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2460: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2480: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2500: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2520: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2540: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2560: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2580: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2600: force 3.3656, moment 0.8113, torque Some(-0.011069193929732046)
smoothing 0.003 evaluation 2620: force 3.1190, moment 0.8082, torque Some(-0.005197607786069813)
smoothing 0.003 evaluation 2640: force 3.1191, moment 0.8082, torque Some(-0.0051975456960922095)
smoothing 0.003 evaluation 2660: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2680: force 3.1190, moment 0.8082, torque Some(-0.005199352487880393)
smoothing 0.003 evaluation 2700: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2720: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2740: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2760: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2780: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2800: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2820: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2840: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2860: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2880: force 3.1190, moment 0.8082, torque Some(-0.005198717473785752)
smoothing 0.003 evaluation 2900: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 2920: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 2940: force 3.0506, moment 0.8061, torque Some(-0.011573312760661869)
smoothing 0.003 evaluation 2960: force 3.0506, moment 0.8061, torque Some(-0.01157331597619804)
smoothing 0.003 evaluation 2980: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3000: force 3.0506, moment 0.8061, torque Some(-0.011572912671627189)
smoothing 0.003 evaluation 3020: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3040: force 3.0506, moment 0.8061, torque Some(-0.011573315444490861)
smoothing 0.003 evaluation 3060: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3080: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3100: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
