smoothing 0.00001 evaluation 3020: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 3040: force 1.2756, moment 0.6402, torque Some(-0.5455994371841091)
smoothing 0.00001 evaluation 3060: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3080: force 1.2755, moment 0.6403, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3100: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3120: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3140: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3160: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3180: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3200: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3220: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3240: force 1.2756, moment 0.6402, torque Some(-0.5455994133703863)
smoothing 0.00001 evaluation 3260: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3280: force 1.2756, moment 0.6402, torque Some(-0.5456368486425658)
smoothing 0.00001 evaluation 3300: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3320: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3340: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3360: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3380: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3400: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3420: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3440: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3460: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3480: force 1.2756, moment 0.6402, torque Some(-0.5455994353005733)
smoothing 0.00001 evaluation 3500: force 1.2772, moment 0.6398, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3520: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3540: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3560: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3580: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3600: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3620: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3640: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3660: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3680: force 1.2756, moment 0.6402, torque Some(-0.5456005776274844)
smoothing 0.00001 evaluation 3700: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3720: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3740: force 1.2756, moment 0.6402, torque Some(-0.5455995399336242)
smoothing 0.00001 evaluation 3760: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3780: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3800: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3820: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3840: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3860: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3880: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3900: force 1.2756, moment 0.6402, torque Some(-0.5455994352461695)
smoothing 0.00001 evaluation 3920: force 1.2760, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 3940: force 1.2742, moment 0.6430, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 3960: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 3980: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4000: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4020: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4040: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4060: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4080: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4100: force 1.2756, moment 0.6402, torque Some(-0.5455994690825263)
smoothing 0.00001 evaluation 4120: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4140: force 1.2756, moment 0.6402, torque Some(-0.5456373400447383)
smoothing 0.00001 evaluation 4160: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4180: force 1.2756, moment 0.6402, torque Some(-0.545601878322405)
smoothing 0.00001 evaluation 4200: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4220: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4240: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4260: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4280: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4300: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4320: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4340: force 1.2756, moment 0.6402, torque Some(-0.5455994352268378)
smoothing 0.00001 evaluation 4360: force 1.2772, moment 0.6369, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4380: force 1.2726, moment 0.6414, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4400: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4420: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4440: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4460: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4480: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4500: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4520: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4540: force 1.2756, moment 0.6402, torque Some(-0.5455994794648535)
smoothing 0.00001 evaluation 4560: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4580: force 1.2756, moment 0.6402, torque Some(-0.5455956098007568)
smoothing 0.00001 evaluation 4600: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4620: force 1.2756, moment 0.6402, torque Some(-0.5406610322102039)
smoothing 0.00001 evaluation 4640: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4660: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4680: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4700: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4720: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4740: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4760: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4780: force 1.2756, moment 0.6402, torque Some(-0.5455994351766462)
smoothing 0.00001 evaluation 4800: force 1.2740, moment 0.6407, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4820: force 1.2756, moment 0.6403, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4840: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4860: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4880: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4900: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4920: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4940: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4960: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 4980: force 1.2756, moment 0.6402, torque Some(-0.5455982927791665)
smoothing 0.00001 evaluation 5000: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 5020: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 5040: force 1.2756, moment 0.6402, torque Some(-0.5455993304716771)
smoothing 0.00001 evaluation 5060: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 5080: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 5100: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
smoothing 0.00001 evaluation 5120: force 1.2756, moment 0.6402, torque Some(-0.5455994351604814)
