evaluation 22600: force 0.22357967796540107, moment 0.053292338063535505, torque Some(-0.00020451074385308132)
evaluation 22800: force 0.22357967796540107, moment 0.053292338063535505, torque Some(-0.00020449316865611689)
evaluation 23000: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 23200: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 23400: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 23600: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 23800: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 24000: force 0.22354932532052244, moment 0.053270043839498404, torque Some(-4.303526230264865e-6)
evaluation 24200: force 0.2235268052457515, moment 0.05320224074192059, torque Some(-4.327941202530994e-6)
evaluation 24400: force 0.2235268052457515, moment 0.05318227087977756, torque Some(-4.327941202530994e-6)
evaluation 24600: force 0.2235268052457515, moment 0.05320224074192059, torque Some(-4.327941202530994e-6)
evaluation 24800: force 0.2235268052457515, moment 0.05320224074192059, torque Some(-4.327941202530994e-6)
evaluation 25000: force 0.22352680524575194, moment 0.05320224074192059, torque Some(-4.327941202530994e-6)
evaluation 25200: force 0.2235268052457515, moment 0.05320224074192059, torque Some(-4.327941202530994e-6)
evaluation 25400: force 0.22354337952265463, moment 0.05319697372732257, torque Some(-1.4601070657205284e-5)
evaluation 25600: force 0.22354337952265463, moment 0.053198602032261455, torque Some(-1.4601070657205284e-5)
evaluation 25800: force 0.22354337952265463, moment 0.05319697372732257, torque Some(-1.4601070657205284e-5)
evaluation 26000: force 0.22354337952265463, moment 0.05319697372732257, torque Some(-1.4601070657205284e-5)
evaluation 26200: force 0.22354292772873147, moment 0.05319697372732257, torque Some(-1.4601070657205284e-5)
evaluation 26400: force 0.22354337952265463, moment 0.05319697372732257, torque Some(-1.4601070657205284e-5)
evaluation 26600: force 0.22353090817130564, moment 0.05319111583111891, torque Some(-4.264223816941026e-6)
evaluation 26800: force 0.22353090817130564, moment 0.05319111583111891, torque Some(-4.26383388596463e-6)
evaluation 27000: force 0.22353090817130564, moment 0.05319111583111891, torque Some(-4.26383388596463e-6)
evaluation 27200: force 0.22353090817130564, moment 0.05319111583111891, torque Some(-4.26383388596463e-6)
evaluation 27400: force 0.22353090817130564, moment 0.05319111583111891, torque Some(-4.26383388596463e-6)
evaluation 27600: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
evaluation 27800: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
evaluation 28000: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
evaluation 28200: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
evaluation 28400: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
evaluation 28600: force 0.22352367041733334, moment 0.05317435206872023, torque Some(-4.335275112454795e-6)
