smoothing 0.003 evaluation 2360: force 3.8985, moment 0.8877, torque Some(-0.033800276763449766)
smoothing 0.003 evaluation 2380: force 3.8985, moment 0.8877, torque Some(-0.03380301481406467)
smoothing 0.003 evaluation 2400: force 3.8985, moment 0.8876, torque Some(-0.03380160175952995)
smoothing 0.003 evaluation 2420: force 3.8985, moment 0.8876, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2440: force 3.8985, moment 0.8876, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2460: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2480: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2500: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2520: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2540: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2560: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2580: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2600: force 3.8985, moment 0.8877, torque Some(-0.03380198802288059)
smoothing 0.003 evaluation 2620: force 3.9159, moment 0.8530, torque Some(-0.05460610205014893)
smoothing 0.003 evaluation 2640: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2660: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2680: force 3.9158, moment 0.8530, torque Some(-0.054606114725591626)
smoothing 0.003 evaluation 2700: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2720: force 3.9159, moment 0.8530, torque Some(-0.05460584204033414)
smoothing 0.003 evaluation 2740: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2760: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2780: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2800: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2820: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2840: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2860: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2880: force 3.9159, moment 0.8530, torque Some(-0.05460611705943519)
smoothing 0.003 evaluation 2900: force 3.7812, moment 0.7951, torque Some(-0.10867419229718772)
smoothing 0.003 evaluation 2920: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 2940: force 3.7812, moment 0.7951, torque Some(-0.1086763389190849)
