evaluation 18200: force 0.17200344582956806, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
evaluation 18400: force 0.17200344582956806, moment 0.06370832553495384, torque Some(-0.00018717162695303102)
evaluation 18600: force 0.17160547966146655, moment 0.06362317436961322, torque Some(-0.00018628020940436585)
evaluation 18800: force 0.17160547966146655, moment 0.06362313811145275, torque Some(-0.0001867959026253807)
evaluation 19000: force 0.17160547966146655, moment 0.06362317436961322, torque Some(-0.0001867959026253807)
evaluation 19200: force 0.17160547966146655, moment 0.06362317436961322, torque Some(-0.0001867959026253807)
evaluation 19400: force 0.17160547966146655, moment 0.06362317436961322, torque Some(-0.0001867959026253807)
evaluation 19600: force 0.17160549313229634, moment 0.06362317436961322, torque Some(-0.0001867959026253807)
evaluation 19800: force 0.17152573369023275, moment 0.06357386378777348, torque Some(-0.00018682668076697162)
evaluation 20000: force 0.17152573369023275, moment 0.06365268024593923, torque Some(-0.00018682668076697162)
evaluation 20200: force 0.17152573369023275, moment 0.06357386378777348, torque Some(-0.00018682668076697162)
evaluation 20400: force 0.17152573369023275, moment 0.06357386378777348, torque Some(-0.00018682668076697162)
evaluation 20600: force 0.17152573369023275, moment 0.06357386378777348, torque Some(-0.00018682668076697162)
evaluation 20800: force 0.17113532029053705, moment 0.0635135343745481, torque Some(-0.00018675570023596322)
evaluation 21000: force 0.17117631055094143, moment 0.0635135343745481, torque Some(-0.00018675570023596322)
evaluation 21200: force 0.17117631055094143, moment 0.06350211916961657, torque Some(-0.00018675570023596322)
evaluation 21400: force 0.17117631055094143, moment 0.0635135343745481, torque Some(-0.00018675570023596322)
evaluation 21600: force 0.17117631055094143, moment 0.0635135343745481, torque Some(-0.00018675570023596322)
evaluation 21800: force 0.17117631055094143, moment 0.0635135343745481, torque Some(-0.00018675570023596322)
evaluation 22000: force 0.1711381652267819, moment 0.06350182119516701, torque Some(-0.00018868514809589065)
evaluation 22200: force 0.17113950130265584, moment 0.06350182119516701, torque Some(-0.00018672625941884569)
