smoothing 0.00001 evaluation 2200: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2220: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2240: force 0.9841, moment 0.4057, torque Some(-0.0018249710496645033)
smoothing 0.00001 evaluation 2260: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2280: force 0.9843, moment 0.4057, torque Some(-0.0018561754927397534)
smoothing 0.00001 evaluation 2300: force 0.9841, moment 0.4057, torque Some(-0.0018248915951505351)
smoothing 0.00001 evaluation 2320: force 0.9140, moment 0.3907, torque Some(-0.0015080121451004347)
smoothing 0.00001 evaluation 2340: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2360: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2380: force 0.9140, moment 0.3905, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2400: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2420: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2440: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2460: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2480: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2500: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2520: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2540: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2560: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2580: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2600: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2620: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2640: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2660: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2680: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2700: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2720: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2740: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2760: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2780: force 0.9140, moment 0.3907, torque Some(-0.0015071768262509)
smoothing 0.00001 evaluation 2800: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2820: force 0.9140, moment 0.3907, torque Some(-0.001542641375520959)
smoothing 0.00001 evaluation 2840: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2860: force 0.9140, moment 0.3907, torque Some(-0.0015052399519529525)
smoothing 0.00001 evaluation 2880: force 0.9140, moment 0.3907, torque Some(-0.0015072489512070186)
smoothing 0.00001 evaluation 2900: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 2920: force 0.9757, moment 0.3736, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 2940: force 0.9757, moment 0.3742, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 2960: force 0.9757, moment 0.3741, torque Some(-0.0004955820957461832)
smoothing 0.00001 evaluation 2980: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3000: force 0.9757, moment 0.3741, torque Some(-0.0007047146761582912)
smoothing 0.00001 evaluation 3020: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3040: force 0.9757, moment 0.3741, torque Some(-0.0004946550641873326)
smoothing 0.00001 evaluation 3060: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3080: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3100: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3120: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3140: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3160: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3180: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3200: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3220: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3240: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3260: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3280: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3300: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3320: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3340: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3360: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3380: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3400: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3420: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3440: force 0.9757, moment 0.3741, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3460: force 0.9757, moment 0.3740, torque Some(-0.0004957094834354692)
smoothing 0.00001 evaluation 3480: force 0.8705, moment 0.3740, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3500: force 0.8706, moment 0.3741, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3520: force 0.8700, moment 0.3739, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3540: force 0.8706, moment 0.3741, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3560: force 0.8706, moment 0.3741, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3580: force 0.8706, moment 0.3741, torque Some(-0.0028595576900130038)
smoothing 0.00001 evaluation 3600: force 0.8706, moment 0.3741, torque Some(-0.0028595576900130038)
