smoothing 0.00001 evaluation 3080: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3100: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3120: force 0.0290, moment 0.0121, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3140: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3160: force 0.0856, moment 0.0284, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3180: force 0.0720, moment 0.0277, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3200: force 0.0477, moment 0.0169, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3220: force 0.0290, moment 0.0107, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3240: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3260: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3280: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3300: force 0.0324, moment 0.0128, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3320: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3340: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3360: force 0.0829, moment 0.0280, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3380: force 0.0476, moment 0.0114, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3400: force 0.0528, moment 0.0175, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3420: force 0.0395, moment 0.0151, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3440: force 0.0290, moment 0.0136, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3460: force 0.0290, moment 0.0074, torque Some(-0.011584724773096133)
smoothing 0.00001 evaluation 3480: force 0.0408, moment 0.0144, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3500: force 0.0513, moment 0.0172, torque Some(-0.009146418531182476)
smoothing 0.00001 evaluation 3520: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3540: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3560: force 0.0505, moment 0.0167, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3580: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3600: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3620: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3640: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3660: force 0.0288, moment 0.0075, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3680: force 0.0862, moment 0.0200, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3700: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3720: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3740: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3760: force 0.0288, moment 0.0356, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3780: force 0.0516, moment 0.0139, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3800: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3820: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3840: force 0.0367, moment 0.0117, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3860: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3880: force 0.0754, moment 0.0292, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3900: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3920: force 0.0517, moment 0.0185, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3940: force 0.0288, moment 0.0221, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3960: force 0.0298, moment 0.0102, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 3980: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4000: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4020: force 0.0337, moment 0.0124, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4040: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4060: force 0.0838, moment 0.0279, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4080: force 0.0338, moment 0.0096, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4100: force 0.0487, moment 0.0208, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4120: force 0.0547, moment 0.0171, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4140: force 0.0421, moment 0.0103, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4160: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4180: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4200: force 0.0317, moment 0.0126, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4220: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4240: force 0.0288, moment 0.0073, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4260: force 0.0323, moment 0.0096, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4280: force 0.0489, moment 0.0115, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4300: force 0.0316, moment 0.0410, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4320: force 0.0487, moment 0.0171, torque Some(-0.011550976550445569)
smoothing 0.00001 evaluation 4340: force 0.0413, moment 0.0162, torque Some(-0.011440405069839343)
smoothing 0.00001 evaluation 4360: force 0.0784, moment 0.0374, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4380: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4400: force 0.0446, moment 0.0076, torque Some(-0.01308552054892198)
smoothing 0.00001 evaluation 4420: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4440: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4460: force 0.0327, moment 0.0168, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4480: force 0.0616, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4500: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4520: force 0.0289, moment 0.0337, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4540: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4560: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4580: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4600: force 0.0468, moment 0.0179, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4620: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4640: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4660: force 0.0656, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4680: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4700: force 0.0644, moment 0.0178, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4720: force 0.0499, moment 0.0127, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4740: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4760: force 0.0289, moment 0.0076, torque Some(-0.0137961598325822)
smoothing 0.00001 evaluation 4780: force 0.0430, moment 0.0192, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4800: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4820: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4840: force 0.0951, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4860: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4880: force 0.0529, moment 0.0195, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4900: force 0.0874, moment 0.0197, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4920: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4940: force 0.0289, moment 0.0118, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4960: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 4980: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5000: force 0.0315, moment 0.0089, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5020: force 0.0966, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5040: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
