evaluation 21200: force 33.49291027334469, moment 8.154292364489011, torque Some(0.00036299095000291715)
evaluation 21400: force 33.49291027334469, moment 8.154292364489011, torque Some(0.00036299095000291715)
evaluation 21600: force 33.49291027334469, moment 8.154292364489011, torque Some(0.00036236135555878235)
evaluation 21800: force 33.49291027334469, moment 8.154292364489011, torque Some(0.00036299095000291715)
evaluation 22000: force 33.448314293528604, moment 8.168317661219529, torque Some(0.00035842585143563976)
evaluation 22200: force 33.448314293528604, moment 8.168317650877887, torque Some(0.00035842585143563976)
evaluation 22400: force 33.448314293528604, moment 8.168317661219529, torque Some(0.00035842585143563976)
evaluation 22600: force 33.448314293528604, moment 8.168317661219529, torque Some(0.00035842585143563976)
evaluation 22800: force 33.448314293528604, moment 8.168317661219529, torque Some(0.00035842585143563976)
evaluation 23000: force 33.448314293528604, moment 8.168317661219529, torque Some(0.00035842585143563976)
evaluation 23200: force 33.424991726418945, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 23400: force 33.424991726418945, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 23600: force 33.424991726418945, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 23800: force 33.42499237752123, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 24000: force 33.424991726418945, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 24200: force 33.424991726418945, moment 8.178918250515181, torque Some(-0.0004742141611755457)
evaluation 24400: force 33.37684561918394, moment 8.179626442054786, torque Some(0.00035625953111395603)
evaluation 24600: force 33.37684561918394, moment 8.179626442054786, torque Some(0.00035625953111395603)
evaluation 24800: force 33.37684561918394, moment 8.179626442054786, torque Some(0.00035625953111395603)
evaluation 25000: force 33.37684561918394, moment 8.179626442054786, torque Some(0.00035625953111395603)
evaluation 25200: force 33.37684561918394, moment 8.179626442054786, torque Some(0.00035625953111395603)
evaluation 25400: force 33.350129983733254, moment 8.189580650332077, torque Some(-0.0010046535522358901)
evaluation 25600: force 33.350129983733254, moment 8.189555262389636, torque Some(-0.0010034685576254532)
evaluation 25800: force 33.350129983733254, moment 8.189580650332077, torque Some(-0.0010046535522358901)
evaluation 26000: force 33.350129983733254, moment 8.189580650332077, torque Some(-0.0010046535522358901)
evaluation 26200: force 33.350129983733254, moment 8.189580650332077, torque Some(-0.0010046535522358901)
evaluation 26400: force 33.350129983733254, moment 8.189580650332077, torque Some(-0.0010046535522358901)
evaluation 26600: force 33.32740354283719, moment 8.189382194945905, torque Some(-0.0002775928961313845)
evaluation 26800: force 33.32740354283719, moment 8.189381320740187, torque Some(-0.0002775928961313845)
evaluation 27000: force 33.32740354283719, moment 8.189382194945905, torque Some(-0.0002775928961313845)
evaluation 27200: force 33.327397227429614, moment 8.189382194945905, torque Some(-0.0002775928961313845)
evaluation 27400: force 33.32740354283719, moment 8.189382194945905, torque Some(-0.0002775928961313845)
evaluation 27600: force 33.32740354283719, moment 8.189382194945905, torque Some(-0.0002775928961313845)
evaluation 27800: force 33.276262781374356, moment 8.191218413836644, torque Some(0.00020417087147484025)
evaluation 28000: force 33.276262781374356, moment 8.191218825459858, torque Some(0.00020417087147484025)
evaluation 28200: force 33.276262781374356, moment 8.191218413836644, torque Some(0.00020417087147484025)
evaluation 28400: force 33.27645514633927, moment 8.191218413836644, torque Some(0.00020417087147484025)
evaluation 28600: force 33.276262781374356, moment 8.191218413836644, torque Some(0.00020417087147484025)
evaluation 28800: force 33.276262781374356, moment 8.191218413836644, torque Some(0.00020417087147484025)
evaluation 29000: force 33.25686832477208, moment 8.201743006725412, torque Some(-0.0015414852050539274)
evaluation 29200: force 33.25686832477208, moment 8.201743006725412, torque Some(-0.0015414852050539274)
evaluation 29400: force 33.25686832477208, moment 8.201743006725412, torque Some(-0.0015414852050539274)
evaluation 29600: force 33.25686832477208, moment 8.201743006725412, torque Some(-0.0015414852050539274)
evaluation 29800: force 33.25686832477208, moment 8.201743006725412, torque Some(-0.0015414852050539274)
evaluation 30000: force 33.24086506904664, moment 8.198640435696431, torque Some(-0.000586174122283456)
evaluation 30200: force 33.24086506904664, moment 8.198640018024845, torque Some(-0.000586174122283456)
evaluation 30400: force 33.24086506904664, moment 8.198640435696431, torque Some(-0.000586174122283456)
evaluation 30600: force 33.24086506904664, moment 8.198640435696431, torque Some(-0.000586174122283456)
evaluation 30800: force 33.24086506904664, moment 8.198640435696431, torque Some(-0.000586174122283456)
evaluation 31000: force 33.24086506904664, moment 8.198640435696431, torque Some(-0.000586174122283456)
evaluation 31200: force 33.193108872513754, moment 8.19435206519908, torque Some(0.00035564599490456317)
evaluation 31400: force 33.193108872513754, moment 8.194205904653476, torque Some(0.0003735967943194751)
evaluation 31600: force 33.193108872513754, moment 8.19435206519908, torque Some(0.00035564599490456317)
evaluation 31800: force 33.193107616758276, moment 8.19435206519908, torque Some(0.00035564599490456317)
evaluation 32000: force 33.193108872513754, moment 8.19435206519908, torque Some(0.00035564599490456317)
evaluation 32200: force 33.193108872513754, moment 8.19435206519908, torque Some(0.00035564599490456317)
evaluation 32400: force 33.168944709858884, moment 8.200847184009906, torque Some(-0.0011008337956259773)
evaluation 32600: force 33.168944709858884, moment 8.200842684442161, torque Some(-0.0010996594578505103)
evaluation 32800: force 33.168944709858884, moment 8.200847184009906, torque Some(-0.0011008337956259773)
evaluation 33000: force 33.16894670231993, moment 8.200847184009906, torque Some(-0.0011008337956259773)
evaluation 33200: force 33.168944709858884, moment 8.200847184009906, torque Some(-0.0011008337956259773)
evaluation 33400: force 33.168944709858884, moment 8.200847184009906, torque Some(-0.0011008337956259773)
evaluation 33600: force 33.14955240330751, moment 8.197902601488249, torque Some(-0.00035285962674969085)
evaluation 33800: force 33.14955240330751, moment 8.197902601488249, torque Some(-0.00035285962674969085)
evaluation 34000: force 33.14955240330751, moment 8.197902601488249, torque Some(-0.00035285962674969085)
evaluation 34200: force 33.14955478903353, moment 8.197902601488249, torque Some(-0.00035285962674969085)
evaluation 34400: force 33.14955240330751, moment 8.197902601488249, torque Some(-0.00035285962674969085)
evaluation 34600: force 33.14955240330751, moment 8.197902601488249, torque Some(-0.00035285962674969085)
