smoothing 0.003 evaluation 2240: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2260: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2280: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2300: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2320: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2340: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2360: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2380: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2400: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2420: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2440: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2460: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2480: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2500: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2520: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2540: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2560: force 6.5481, moment 0.4913, torque Some(0.6244381496607889)
smoothing 0.003 evaluation 2580: force 6.5481, moment 0.4913, torque Some(0.6244274731243775)
smoothing 0.003 evaluation 2600: force 8.8564, moment 1.9231, torque Some(-4.40538432539053)
smoothing 0.003 evaluation 2620: force 6.5665, moment 0.4023, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2640: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2660: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2680: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2700: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2720: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2740: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2760: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2780: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2800: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2820: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2840: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2860: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2880: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2900: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2920: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2940: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2960: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 2980: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3000: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3020: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3040: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3060: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3080: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3100: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3120: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3140: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3160: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3180: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3200: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3220: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3240: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3260: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3280: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3300: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3320: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3340: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3360: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3380: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3400: force 6.5665, moment 0.4024, torque Some(0.5612717006743544)
smoothing 0.003 evaluation 3420: force 6.5665, moment 0.4024, torque Some(0.5612705520707555)
smoothing 0.003 evaluation 3440: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3460: force 6.5665, moment 0.4024, torque Some(0.5612705520893795)
smoothing 0.003 evaluation 3480: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3500: force 6.5694, moment 0.3917, torque Some(0.3208416915182093)
smoothing 0.003 evaluation 3520: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3540: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3560: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3580: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3600: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3620: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3640: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3660: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3680: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3700: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3720: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3740: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3760: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3780: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3800: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3820: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3840: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3860: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3880: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3900: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3920: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3940: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3960: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 3980: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4000: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4020: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4040: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4060: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4080: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4100: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4120: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4140: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4160: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4180: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4200: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
