smoothing 0.00001 evaluation 4060: force 0.2796, moment 0.0372, torque Some(-0.01178573744203848)
smoothing 0.00001 evaluation 4080: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4100: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4120: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4140: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4160: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4180: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4200: force 0.2796, moment 0.0395, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4220: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4240: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4260: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4280: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4300: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4320: force 0.2796, moment 0.0372, torque Some(-0.012018275688218338)
smoothing 0.00001 evaluation 4340: force 0.2536, moment 0.0325, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4360: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4380: force 0.2541, moment 0.0325, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4400: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4420: force 0.2541, moment 0.0326, torque Some(-0.011451229957891496)
smoothing 0.00001 evaluation 4440: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4460: force 0.2541, moment 0.0326, torque Some(-0.011450308338781134)
smoothing 0.00001 evaluation 4480: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
