evaluation 36800: force 0.16397487663236224, moment 0.06276559603132291, torque Some(0.25253883221299933)
evaluation 37000: force 0.16397487663236224, moment 0.06276506618512975, torque Some(0.25253883221299933)
evaluation 37200: force 0.16397487663236224, moment 0.06276506618512975, torque Some(0.25253883221299933)
evaluation 37400: force 0.16397487663236224, moment 0.06276506618512975, torque Some(0.25253883221299933)
evaluation 37600: force 0.16306328056324915, moment 0.06263968010614927, torque Some(0.2528262942472519)
evaluation 37800: force 0.16306328056324915, moment 0.06263968010614927, torque Some(0.2528262942472519)
evaluation 38000: force 0.16306328056324915, moment 0.06259468848993531, torque Some(0.2528262942472519)
evaluation 38200: force 0.16306328056324915, moment 0.06263968010614927, torque Some(0.2528262942472519)
evaluation 38400: force 0.16306328057254083, moment 0.06263968010614927, torque Some(0.2528262942472519)
evaluation 38600: force 0.16306328056324915, moment 0.06263968010614927, torque Some(0.2528262942472519)
evaluation 38800: force 0.16005706149956644, moment 0.06235924700174696, torque Some(0.2536410796605602)
evaluation 39000: force 0.16005706149956644, moment 0.06235924700174696, torque Some(0.25364108374568006)
evaluation 39200: force 0.16005706149956644, moment 0.06235924700174696, torque Some(0.25364108374568006)
evaluation 39400: force 0.16005706149956644, moment 0.06235924700174696, torque Some(0.25364108374568006)
evaluation 39600: force 0.16002355708370608, moment 0.06235924700174696, torque Some(0.25364108374568006)
evaluation 39800: force 0.15896743540150615, moment 0.062281624651481106, torque Some(0.2538807738289376)
evaluation 40000: force 0.15896743540150615, moment 0.062281624651481106, torque Some(0.2538807738289376)
evaluation 40200: force 0.15896743540150615, moment 0.06251983578833115, torque Some(0.2538807738289376)
evaluation 40400: force 0.15896743540150615, moment 0.062281624651481106, torque Some(0.2538807738289376)
evaluation 40600: force 0.15896743540150615, moment 0.062281624651481106, torque Some(0.2538807738289376)
evaluation 40800: force 0.15901381032828132, moment 0.062281624651481106, torque Some(0.2538807738289376)
evaluation 41000: force 0.15865794562285995, moment 0.06225884878962417, torque Some(0.2539522276565305)
evaluation 41200: force 0.15865794562285995, moment 0.06225884878962417, torque Some(0.2539522276565305)
evaluation 41400: force 0.15865794562285995, moment 0.06225830575455867, torque Some(0.2539522276565305)
evaluation 41600: force 0.15865794562285995, moment 0.06225884878962417, torque Some(0.2539522276565305)
evaluation 41800: force 0.15865794562285995, moment 0.06225884878962417, torque Some(0.2539522276565305)
evaluation 42000: force 0.15865794562285995, moment 0.06225884878962417, torque Some(0.2539522276565305)
evaluation 42200: force 0.15782812254808304, moment 0.06219440593525821, torque Some(0.25416250315065153)
evaluation 42400: force 0.15782812254808304, moment 0.06219440593525821, torque Some(0.25416250315065153)
evaluation 42600: force 0.15782812254808304, moment 0.06219334472769443, torque Some(0.25416250315065153)
evaluation 42800: force 0.15782812254808304, moment 0.06219440593525821, torque Some(0.25416250315065153)
evaluation 43000: force 0.15782812254808304, moment 0.06219440593525821, torque Some(0.25416250315065153)
evaluation 43200: force 0.15782812254808304, moment 0.06219440593525821, torque Some(0.25416250315065153)
evaluation 43400: force 0.15758502246802594, moment 0.062175371097352675, torque Some(0.25422523446131734)
evaluation 43600: force 0.15758502246802594, moment 0.062175371097352675, torque Some(0.25422522396999125)
evaluation 43800: force 0.15758502246802594, moment 0.062175371097352675, torque Some(0.25422522396999125)
evaluation 44000: force 0.15758502246802594, moment 0.062175371097352675, torque Some(0.25422522396999125)
evaluation 44200: force 0.15738746966316272, moment 0.062175371097352675, torque Some(0.25422522396999125)
evaluation 44400: force 0.15690278238800454, moment 0.06212057955045215, torque Some(0.25441020200516695)
evaluation 44600: force 0.15690278238800454, moment 0.06212057955045215, torque Some(0.25441020200516695)
evaluation 44800: force 0.15690278238800454, moment 0.06212151482665762, torque Some(0.25441020200516695)
evaluation 45000: force 0.15690278238800454, moment 0.06212057955045215, torque Some(0.25441020200516695)
evaluation 45200: force 0.15690278238800454, moment 0.06212057955045215, torque Some(0.25441020200516695)
evaluation 45400: force 0.15698329260655336, moment 0.06212057955045215, torque Some(0.25441020200516695)
evaluation 45600: force 0.15688237752930345, moment 0.062118934080760274, torque Some(0.25441574870981587)
evaluation 45800: force 0.15688237752930345, moment 0.062118934080760274, torque Some(0.25441574870981587)
evaluation 46000: force 0.15688237752930345, moment 0.06234980577925056, torque Some(0.25441574870981587)
evaluation 46200: force 0.15688237752930345, moment 0.062118934080760274, torque Some(0.25441574870981587)
evaluation 46400: force 0.15688237752930345, moment 0.062118934080760274, torque Some(0.25441574870981587)
evaluation 46600: force 0.15688237752930345, moment 0.062118934080760274, torque Some(0.25441574870981587)
evaluation 46800: force 0.15682120836999627, moment 0.06211401698479721, torque Some(0.25443236412355674)
evaluation 47000: force 0.15682120836999627, moment 0.06211401698479721, torque Some(0.25443236412355674)
evaluation 47200: force 0.15682120836999627, moment 0.06211507891208936, torque Some(0.25443236412355674)
evaluation 47400: force 0.15682120836999627, moment 0.06211401698479721, torque Some(0.25443236412355674)
evaluation 47600: force 0.15682120836999627, moment 0.06211401698479721, torque Some(0.25443236412355674)
evaluation 47800: force 0.15682120836999627, moment 0.06211401698479721, torque Some(0.25443236412355674)
evaluation 48000: force 0.15680287339395693, moment 0.062112543221729245, torque Some(0.2544373360481293)
evaluation 48200: force 0.15680287339395693, moment 0.062112543221729245, torque Some(0.254437346539449)
evaluation 48400: force 0.15680287339395693, moment 0.062112543221729245, torque Some(0.254437346539449)
evaluation 48600: force 0.15680287339395693, moment 0.062112543221729245, torque Some(0.254437346539449)
evaluation 48800: force 0.15700042621822508, moment 0.062112543221729245, torque Some(0.254437346539449)
evaluation 49000: force 0.15674797687507122, moment 0.06210813699062571, torque Some(0.2544522737906749)
evaluation 49200: force 0.15674797687507122, moment 0.06210813699062571, torque Some(0.2544522737906749)
evaluation 49400: force 0.15674797687507122, moment 0.061881414828734625, torque Some(0.2544522737906749)
evaluation 49600: force 0.15674797687507122, moment 0.06210813699062571, torque Some(0.2544522737906749)
evaluation 49800: force 0.15674797687507122, moment 0.06210813699062571, torque Some(0.2544522737906749)
evaluation 50000: force 0.15673983426951607, moment 0.06210813699062571, torque Some(0.2544522737906749)
evaluation 50200: force 0.1567463311581045, moment 0.06210800478924958, torque Some(0.2544527215905383)
evaluation 50400: force 0.1567463311581045, moment 0.06210800478924958, torque Some(0.25445270388099195)
evaluation 50600: force 0.1567463311581045, moment 0.062108018438051305, torque Some(0.2544527215905383)
evaluation 50800: force 0.1567463311581045, moment 0.06210800478924958, torque Some(0.2544527215905383)
evaluation 51000: force 0.1567463311581045, moment 0.06210800478924958, torque Some(0.2544527215905383)
evaluation 51200: force 0.1567463311581045, moment 0.06210800478924958, torque Some(0.2544527215905383)
evaluation 51400: force 0.15674139456882297, moment 0.062107608285107134, torque Some(0.25445406482892935)
evaluation 51600: force 0.15674139456882297, moment 0.062107608285107134, torque Some(0.25445406482892935)
evaluation 51800: force 0.15674139456882297, moment 0.06210686397773595, torque Some(0.25445406482892935)
evaluation 52000: force 0.15674139456882297, moment 0.062107608285107134, torque Some(0.25445406482892935)
evaluation 52200: force 0.15674139456882297, moment 0.062107608285107134, torque Some(0.25445406482892935)
evaluation 52400: force 0.15674139456882297, moment 0.062107608285107134, torque Some(0.25445406482892935)
