evaluation 19400: force 0.17872455784505456, moment 0.05572936368304075, torque Some(-5.304863196942122e-6)
evaluation 19600: force 0.18101516474713872, moment 0.05628039726126209, torque Some(-4.598556361479211e-6)
evaluation 19800: force 0.18101516474713872, moment 0.05628269659337291, torque Some(-4.598556361479211e-6)
evaluation 20000: force 0.18101516474713872, moment 0.05628039726126209, torque Some(-4.598556361479211e-6)
evaluation 20200: force 0.18101516474713872, moment 0.05628039726126209, torque Some(-4.598556361479211e-6)
evaluation 20400: force 0.1810345694401754, moment 0.05628039726126209, torque Some(-4.598556361479211e-6)
evaluation 20600: force 0.18101516474713872, moment 0.05628039726126209, torque Some(-4.598556361479211e-6)
evaluation 20800: force 0.19237492381260138, moment 0.05768945838495097, torque Some(-3.850570429619893e-6)
evaluation 21000: force 0.19237492381260138, moment 0.05769110872977755, torque Some(-3.843659474256356e-6)
evaluation 21200: force 0.19237492381260138, moment 0.05768945838495097, torque Some(-3.843659474256356e-6)
evaluation 21400: force 0.19237492381260138, moment 0.05768945838495097, torque Some(-3.843659474256356e-6)
evaluation 21600: force 0.19237446816743, moment 0.05768945838495097, torque Some(-3.843659474256356e-6)
evaluation 21800: force 0.19237492381260138, moment 0.05768945838495097, torque Some(-3.843659474256356e-6)
evaluation 22000: force 0.18868133227005437, moment 0.056801954473233454, torque Some(-3.803943795954723e-6)
evaluation 22200: force 0.18868133227005437, moment 0.056801954473233454, torque Some(-3.601052771973201e-6)
evaluation 22400: force 0.18868133227005437, moment 0.056801954473233454, torque Some(-3.601052771973201e-6)
evaluation 22600: force 0.18868133227005437, moment 0.056801954473233454, torque Some(-3.601052771973201e-6)
evaluation 22800: force 0.18868133227005437, moment 0.056801954473233454, torque Some(-3.601052771973201e-6)
evaluation 23000: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 23200: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 23400: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 23600: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 23800: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 24000: force 0.1882409810542106, moment 0.05838377066999277, torque Some(-3.809390788034328e-6)
evaluation 24200: force 0.19197851361318138, moment 0.05901440464369912, torque Some(-0.0032368630785097885)
evaluation 24400: force 0.19197851361318138, moment 0.05902276415030539, torque Some(-0.0032368630785097885)
evaluation 24600: force 0.19197851361318138, moment 0.05901440464369912, torque Some(-0.0032368630785097885)
evaluation 24800: force 0.19197851361318138, moment 0.05901440464369912, torque Some(-0.0032368630785097885)
evaluation 25000: force 0.19197851361318183, moment 0.05901440464369912, torque Some(-0.0032368630785097885)
evaluation 25200: force 0.19197851361318138, moment 0.05901440464369912, torque Some(-0.0032368630785097885)
evaluation 25400: force 0.19286938638692377, moment 0.061265369977567194, torque Some(-0.0018065263404405396)
evaluation 25600: force 0.19286938638692377, moment 0.06125194120003301, torque Some(-0.0018063042875715585)
evaluation 25800: force 0.19286938638692377, moment 0.061265369977567194, torque Some(-0.0018063042875715585)
evaluation 26000: force 0.19286938638692377, moment 0.061265369977567194, torque Some(-0.0018063042875715585)
evaluation 26200: force 0.192867703890268, moment 0.061265369977567194, torque Some(-0.0018063042875715585)
evaluation 26400: force 0.19286938638692377, moment 0.061265369977567194, torque Some(-0.0018063042875715585)
evaluation 26600: force 0.1949398423369773, moment 0.06047776027183298, torque Some(-6.7432860846317055e-6)
evaluation 26800: force 0.1949398423369773, moment 0.06047776027183298, torque Some(-6.743171697909389e-6)
evaluation 27000: force 0.1949398423369773, moment 0.06047776027183298, torque Some(-6.743171697909389e-6)
evaluation 27200: force 0.1949398423369773, moment 0.06047776027183298, torque Some(-6.743171697909389e-6)
