evaluation 34000: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 34200: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 34400: force 0.07055308594888454, moment 0.028189440063465302, torque Some(0.31079456898739416)
evaluation 34600: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 34800: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 35000: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.3109050809055658)
evaluation 35200: force 0.07031929533585013, moment 0.028112982604126004, torque Some(0.31090507333830975)
evaluation 35400: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 35600: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 35800: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 36000: force 0.06966785666532205, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 36200: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 36400: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 36600: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 36800: force 0.07031929533585013, moment 0.02811423014592673, torque Some(0.31090507333830975)
evaluation 37000: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 37200: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 37400: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 37600: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 37800: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 38000: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 38200: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 38400: force 0.0697617339750678, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 38600: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 38800: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 39000: force 0.06976055326101538, moment 0.027930337969641197, torque Some(0.31119666535111157)
evaluation 39200: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 39400: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 39600: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122750813158595)
evaluation 39800: force 0.06971197015772501, moment 0.027909316080285712, torque Some(0.31122759202915595)
evaluation 40000: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 40200: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 40400: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 40600: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 40800: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 41000: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 41200: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 41400: force 0.06971197015772501, moment 0.02790631354864137, torque Some(0.31122759202915595)
evaluation 41600: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 41800: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 42000: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 42200: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 42400: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 42600: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 42800: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 43000: force 0.06906227872392634, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 43200: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 43400: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 43600: force 0.06968163277659511, moment 0.02788683729624554, torque Some(0.31125125262712844)
evaluation 43800: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 44000: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 44200: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.3113416066017752)
evaluation 44400: force 0.06950356116145495, moment 0.027834621301828375, torque Some(0.31134163927954545)
evaluation 44600: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 44800: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 45000: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 45200: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 45400: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 45600: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 45800: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 46000: force 0.06950356116145495, moment 0.0278343111783511, torque Some(0.31134163927954545)
evaluation 46200: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 46400: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 46600: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 46800: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 47000: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 47200: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 47400: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 47600: force 0.06932020976247255, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 47800: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 48000: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 48200: force 0.06931996546138208, moment 0.02777848427390446, torque Some(0.31142367800463994)
evaluation 48400: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 48600: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 48800: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.31151503489204846)
evaluation 49000: force 0.06916890261860142, moment 0.027731269305127506, torque Some(0.3115150876497189)
evaluation 49200: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 49400: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 49600: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 49800: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 50000: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 50200: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 50400: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 50600: force 0.06916890261860142, moment 0.027727880789650532, torque Some(0.3115150876497189)
evaluation 50800: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 51000: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 51200: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160194666780977)
evaluation 51400: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 51600: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 51800: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 52000: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 52200: force 0.06902165287823903, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 52400: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 52600: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
