smoothing 0.00001 evaluation 1900: force 2.1041, moment 1.7421, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1920: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1940: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1960: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 1980: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2000: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2020: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2040: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2060: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2080: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2100: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2120: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2140: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2160: force 2.1041, moment 1.7489, torque Some(-0.5594278792321536)
smoothing 0.00001 evaluation 2180: force 2.1205, moment 1.7135, torque Some(-0.5611102927811622)
smoothing 0.00001 evaluation 2200: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2220: force 2.1200, moment 1.7135, torque Some(-0.5611083601942637)
smoothing 0.00001 evaluation 2240: force 2.1197, moment 1.7135, torque Some(-0.5611092378072358)
smoothing 0.00001 evaluation 2260: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2280: force 2.1204, moment 1.7135, torque Some(-0.5694873827813671)
smoothing 0.00001 evaluation 2300: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2320: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2340: force 2.1204, moment 1.7136, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2360: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2380: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2400: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2420: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2440: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2460: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2480: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2500: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2520: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2540: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2560: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2580: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2600: force 2.1204, moment 1.7135, torque Some(-0.5611101983767366)
smoothing 0.00001 evaluation 2620: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2640: force 2.1232, moment 1.6026, torque Some(-0.5602847816860796)
smoothing 0.00001 evaluation 2660: force 2.1240, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2680: force 2.1231, moment 1.6026, torque Some(-0.5602901301891272)
smoothing 0.00001 evaluation 2700: force 2.1231, moment 1.6025, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2720: force 2.1231, moment 1.6027, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2740: force 2.1231, moment 1.6025, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2760: force 2.1231, moment 1.6029, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2780: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2800: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2820: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2840: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2860: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2880: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2900: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2920: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2940: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2960: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 2980: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 3000: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 3020: force 2.1231, moment 1.6026, torque Some(-0.560286388497858)
smoothing 0.00001 evaluation 3040: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3060: force 2.1235, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3080: force 2.1232, moment 1.5968, torque Some(-0.5605387463267413)
smoothing 0.00001 evaluation 3100: force 2.1013, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3120: force 2.1233, moment 1.5968, torque Some(-0.5612260489285636)
smoothing 0.00001 evaluation 3140: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3160: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3180: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3200: force 2.1233, moment 1.6011, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3220: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3240: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3260: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3280: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3300: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3320: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3340: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3360: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3380: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3400: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3420: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3440: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3460: force 2.1233, moment 1.5968, torque Some(-0.5605349486732425)
smoothing 0.00001 evaluation 3480: force 2.1245, moment 1.5927, torque Some(-0.5604604245818225)
smoothing 0.00001 evaluation 3500: force 2.1247, moment 1.5927, torque Some(-0.5604612922714938)
smoothing 0.00001 evaluation 3520: force 2.0948, moment 1.5927, torque Some(-0.5605361764552539)
